# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacob	Giacobbe
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Giada (minerale)
Jaguar	Panthera onca
Jainism	Giainismo
Jakarta	Giacarta
Jalalabad	Jalalabad
Jamaica	Giamaica
Jamaica	Categoria:Giamaica
James	Giacomo il Maggiore
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James Knox Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu e Kashmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour
Janis Joplin	Janis Joplin
Janissary	Giannizzeri
January	Gennaio
January 1	1º gennaio
January 19	19 gennaio
January 20	20 gennaio
January 6	6 gennaio
Janus (moon)	Giano (astronomia)
Janus (mythology)	Giano (divinità)
Japan	Giappone
Japan	Categoria:Giappone
Jason	Giasone (mitologia)
Jaundice	Ittero
Java	Giava
Java (disambiguation)	Java
Java (programming language)	Java (linguaggio)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jazz	Categoria:Jazz
Jean Auguste Dominique Ingres	Jean-Auguste-Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jedda
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jehovah	Tetragramma biblico
Jehovah's Witnesses	Testimoni di Geova
Jellyfish	Scyphozoa
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Gerico
Jerome	San Girolamo
Jersey	Jersey
Jerusalem	Gerusalemme
Jerusalem	Categoria:Gerusalemme
Jesus	Gesù
Jet engine	Motore a getto
Jew	Ebreo
Jew's harp	Scacciapensieri
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Giovanna d'Arco
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johann Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	Giovanni Calvino
John Chrysostom	Giovanni Crisostomo
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	Nepero
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wyclif
John the Baptist	San Giovanni Battista
John von Neumann	János Neumann
Johnny Cash	Johnny Cash
Joint	Articolazione
Jonathan Swift	Jonathan Swift
Jordan	Giordania
Jordan	Categoria:Giordania
Jordan River	Giordano
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Franz Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Joseph Stalin	Stalin
Josephus	Flavio Giuseppe
Joule	Joule
Journalism	Categoria:Giornalismo
Journalism	Giornalismo
Journalist	Giornalista
Jovian	Gioviano
Joystick	Joystick
Judaism	Religione ebraica
Judaism	Categoria:Ebraismo
Judas Iscariot	Giuda Iscariota
Judea	Giudea
Judo	Jūdō
Judy Garland	Judy Garland
Jujutsu	Ju jitsu
Jules Verne	Jules Verne
Julian calendar	Calendario giuliano
Julian the Apostate	Giuliano (imperatore romano)
Julius Caesar	Gaio Giulio Cesare
July	Luglio
July 1	1º luglio
July 4	4 luglio
June	Giugno
June 14	14 giugno
June 21	21 giugno
June 23	23 giugno
June 24	24 giugno
June 29	29 giugno
June 3	3 giugno
Juneau	Juneau
Juniper	Juniperus
Juno (mythology)	Giunone
Jupiter	Giove (astronomia)
Jupiter	Categoria:Giove
Jupiter (disambiguation)	Giove
Jupiter (mythology)	Giove (divinità)
Jurassic	Giurassico
Justinian I	Giustiniano I di Bisanzio
Jutland	Jutland
K	K
K2	K2
KGB	Komitet Gosudarstvennoj Bezopasnosti
Kaaba	Kaaba
Kabbalah	Cabala
Kabul	Kabul
Kalahari Desert	Kalahari
Kamchatka Peninsula	Kamčatka
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar (città)
Kansas	Kansas
Kansas	Categoria:Kansas
Kansas City	Kansas City (Missouri)
Kappa	Kappa (lettera)
Kara Sea	Mare di Kara
Karachi	Karachi
Karakoram	Karakorum
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Kayak
Kazakhstan	Kazakistan
Kazakhstan	Categoria:Kazakistan
Kazan	Kazan'
Kazimir Malevich	Kazimir Severinovič Malevič
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kentucky	Categoria:Kentucky
Kenya	Kenya
Kenya	Categoria:Kenya
Kernel (computer science)	Kernel
Kerosene	Cherosene
Ketchup	Ketchup
Ketone	Chetoni
Keyboard (computing)	Tastiera (informatica)
Keyboard instrument	Tastiera (strumento)
Khabarovsk	Chabarovsk
Khan	Khan
Kharkiv	Charkiv
Khartoum	Khartum
Khmer Rouge	Khmer Rossi
Khufu	Medjedu
Kibbutz	Kibbutz
Kidney	Rene
Kiev	Kiev
Kigali	Kigali
Kilobyte	Kilobyte
Kilogram	Chilogrammo
Kilometre	Chilometro
Kilometres per hour	Chilometro orario
Kimono	Kimono
Kindergarten	Scuola dell'infanzia
Kinematics	Cinematica
Kinetic energy	Energia cinetica
King (chess)	Re (scacchi)
King Arthur	Re Artù
King Lear	Re Lear
Kingdom (biology)	Regno (biologia)
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiribati	Categoria:Kiribati
Kiss	Bacio
Kite	Aquilone
Kiwi	Apteryx
Knee	Ginocchio
Knesset	Knesset
Knife	Coltello
Knight	Cavalleria medievale
Knight (chess)	Cavallo (scacchi)
Knossos	Cnosso
Knot (speed)	Nodo (unità di misura)
Knowledge	Conoscenza
Knut Hamsun	Knut Hamsun
Koala	Phascolarctos cinereus
Kobe	Kōbe
Kola Peninsula	Penisola di Kola
Kolkata	Calcutta
Komodo dragon	Varanus komodoensis
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Corea
Korea	Categoria:Corea
Korean War	Guerra di Corea
Kosovo	Kosovo
Kosovo	Categoria:Kosovo
Krakatoa	Krakatoa
Kremlin	Cremlino
Krishna	Krishna
Krypton	Kripton (elemento)
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kublai Khan
Kuiper belt	Fascia di Kuiper
Kumquat	Fortunella
Kunlun Mountains	Kunlun
Kuomintang	Guomindang
Kura River	Kura (fiume)
Kurdistan	Kurdistan
Kurdistan	Categoria:Kurdistan
Kurdistan Workers Party	Partîya Karkerén Kurdîstan
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kuwait	Categoria:Kuwait
Kuwait City	Madinat al-Kuwait
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyōto
Kyrgyzstan	Kirghizistan
Kyrgyzstan	Categoria:Kirghizistan
L	L
L'Aquila	L'Aquila
LAMP (software bundle)	LAMP (piattaforma)
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Laboratory	Laboratorio
Labour Party (UK)	Partito Laburista (Regno Unito)
Labrador Retriever	Labrador Retriever
Lacerta	Lucertola (costellazione)
Lactic acid	Acido lattico
Lactose	Lattosio
Lady Jane Grey	Jane Grey
Lagomorpha	Lagomorpha
Lagos	Lagos (città)
Lahore	Lahore
Laissez-faire	Laissez-faire
Lake	Lago
Lake Baikal	Lago Bajkal
Lake Balaton	Balaton
Lake Chad	Ciad (lago)
Lake Constance	Lago di Costanza
Lake Erie	Lago Erie
Lake Eyre	Lago Eyre
Lake Geneva	Lago Lemano
Lake Huron	Lago Huron
Lake Ilmen	Lago Il'men'
Lake Ladoga	Lago Ladoga
Lake Malawi	Malawi (lago)
Lake Michigan	Lago Michigan
Lake Onega	Lago Onega
Lake Ontario	Lago Ontario
Lake Superior	Lago Superiore
Lake Tanganyika	Lago Tanganica
Lake Victoria	Lago Vittoria
Lakshmi	Lakshmi
Lambda	Lambda (lettera)
Lamiaceae	Lamiaceae
Lammergeier	Gypaetus barbatus
Lamprey	Petromyzontiformes
Lancashire	Lancashire
Lancelet	Branchiostoma
Landfill	Discarica di rifiuti
Language	Linguaggio
Languedoc-Roussillon	Linguadoca-Rossiglione
Lansing	Lansing
Lanthanide	Lantanoidi
Lanthanum	Lantanio
Laos	Laos
Laos	Categoria:Laos
Laptev Sea	Mare di Laptev
Laptop	Computer portatile
Larch	Larix
Larva	Larva
Larynx	Laringe
Las Vegas	Las Vegas
Lascaux	Grotte di Lascaux
Laser	Laser
Lathe	Tornio
Latin	Lingua latina
Latin America	America latina
Latin alphabet	Alfabeto latino
Latitude	Latitudine
Latvia	Lettonia
Latvia	Categoria:Lettonia
Laughter	Riso (ridere)
Laurasia	Laurasia
Lausanne	Losanna
Lava	Lava
Law	Diritto
Law	Categoria:Diritto
Law enforcement	Categoria:Forze di polizia
Lawrencium	Laurenzio
Lawyer	Avvocato
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lead	Piombo
Leaf	Foglia
League of Nations	Società delle Nazioni
Leaning Tower of Pisa	Torre pendente di Pisa
Leap year	Anno bisestile
Learning	Apprendimento
Lebanon	Libano
Lebanon	Categoria:Libano
Leda (mythology)	Leda
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Left-handed	Mancinismo
Legend	Leggenda
Legislature	Potere legislativo
Lego	LEGO
Leicester	Leicester
Leiden	Leida
Leipzig	Lipsia
Lemon	Citrus × limon
Lemon balm	Melissa officinalis
Lena River	Lena (fiume)
Length	Lunghezza
Lens (optics)	Lente
Lent	Quaresima
Lentil	Lens (botanica)
Leo (constellation)	Leone (costellazione)
Leo I (emperor)	Leone I di Bisanzio
Leon Trotsky	Lev Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Eulero
Leonid Brezhnev	Leonid Il'ič Brežnev
Leopard	Panthera pardus
Lepidoptera	Lepidoptera
Leprosy	Lebbra
Lepton	Leptone
Lepus (constellation)	Lepre (costellazione)
Lesbian	Lesbismo
Lesotho	Lesotho
Lesotho	Categoria:Lesotho
Lesser Antilles	Piccole Antille
Leto	Latona
Letter (alphabet)	Lettera (alfabeto)
Leukemia	Leucemia
Levant	Levante (geografia)
Lever	Leva (fisica)
Leviathan	Leviatano
Leviticus	Levitico
Lewis Carroll	Lewis Carroll
Lexicology	Lessicologia
Lhasa	Lhasa
Lhotse	Lhotse
Liberalism	Liberalismo
Liberation Tigers of Tamil Eelam	Tigri Tamil
Liberia	Liberia
Liberia	Categoria:Liberia
Libra (constellation)	Bilancia (costellazione)
Library	Biblioteca
Library science	Biblioteconomia
Libretto	Libretto
Libreville	Libreville
Libya	Libia
Libya	Categoria:Libia
Lichen	Lichene
Liechtenstein	Liechtenstein
Liechtenstein	Categoria:Liechtenstein
Lieutenant	Tenente
Life	Vita
Light	Luce
Light-emitting diode	LED
Light-year	Anno luce
Lighter	Accendino
Lighthouse	Faro
Lightning	Fulmine
Liguria	Liguria
Ligurian Sea	Mar Ligure
Liliaceae	Liliaceae
Lilith	Lilith
Lille	Lilla
Lilongwe	Lilongwe
Lima	Lima
Limerick	Limerick
Limestone	Calcare
Limit (mathematics)	Limite (matematica)
Limnology	Limnologia
Limousin (region)	Limosino
Lincoln	Lincoln (Nebraska)
Lincoln	Lincoln
Lincolnshire	Lincolnshire
Line (mathematics)	Retta
Linear algebra	Algebra lineare
Linear algebra	Categoria:Algebra lineare
Linear equation	Equazione lineare
Lingua franca	Lingua franca
Linguistics	Linguistica
Linguistics	Categoria:Linguistica
Linus Pauling	Linus Pauling
Linux	Linux
Linux	Categoria:Linux
Linz	Linz
Lion	Panthera leo
Lipid	Lipidi
Liqueur	Liquore
Liquid	Liquido
Liquid crystal display	Schermo a cristalli liquidi
Liquorice	Glycyrrhiza glabra
Lisbon	Lisbona
Lise Meitner	Lise Meitner
Lisp (programming language)	Lisp
Literacy	Alfabetizzazione
Literature	Letteratura
Literature	Categoria:Letteratura
Literature	Portale:Letteratura
Lithium	Litio
Lithography	Litografia (arte)
Lithosphere	Litosfera
Lithuania	Lituania
Lithuania	Categoria:Lituania
Litre	Litro
Little Owl	Athene noctua
Liverpool	Liverpool
Livonia	Livonia
Livy	Tito Livio
Lizard	Lacertilia
Ljubljana	Lubiana
Llama	Lama glama
Loanword	Prestito linguistico
Local area network	Local Area Network
Loch Ness	Loch Ness
Loch Ness Monster	Mostro di Loch Ness
Locomotive	Locomotiva
Logarithm	Logaritmo
Logic	Logica
Logic	Categoria:Logica
Logic gate	Porta logica
Logistics	Logistica
Logo	Logo
Loire	Loira (dipartimento francese)
Loire River	Loira (fiume)
Loki	Loki (mitologia)
Lolita	Lolita (romanzo)
Lombardy	Lombardia
London	Londra
London	Categoria:Londra
Long Beach	Long Beach (California)
Long Island	Long Island (USA)
Long jump	Salto in lungo
Long-eared Owl	Asio otus
Lope de Vega	Lope de Vega
Lord's Prayer	Padre Nostro
Lorraine (region)	Lorena (regione francese)
Los Angeles	Los Angeles
Lot (department)	Lot (dipartimento francese)
Loudspeaker	Altoparlante
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Louis the Pious	Ludovico I del Sacro Romano Impero
Louis the Stammerer	Luigi II di Francia
Louisiana	Louisiana
Louisiana	Categoria:Louisiana
Louisville	Louisville (Kentucky)
Louvre	Museo del Louvre
Love	Amore
Low German	Lingua basso-tedesca
Lower Saxony	Bassa Sassonia
Luanda	Luanda
Lublin	Lublino
Lucerne	Lucerna
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifero
Lucretius	Tito Lucrezio Caro
Lucrezia Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen (unit)	Lumen
Luminescence	Luminescenza
Lunar eclipse	Eclissi lunare
Lund	Lund (Svezia)
Lung	Polmone
Lung cancer	Tumore del polmone
Lungfish	Dipnoi
Lupus (constellation)	Lupo (costellazione)
Lusaka	Lusaka
Lusitania	Lusitania
Lute	Liuto
Lutetium	Lutezio
Lutheranism	Luteranesimo
Lux	Lux
Luxembourg	Lussemburgo
Luxembourg	Categoria:Lussemburgo
Luxembourg (city)	Lussemburgo (città)
Luxor	Luxor
Luzon	Luzon
Lychee	Litchi chinensis
Lydia	Lidia
Lymphatic system	Sistema linfatico
Lynx (constellation)	Lince (costellazione)
Lynx (web browser)	Lynx (software)
Lyon	Lione
Lyra	Lira (costellazione)
Lysergic acid diethylamide	LSD
Lysine	Lisina
Lysosome	Lisosoma
M	M
M-theory	M-teoria
MESSENGER	MESSENGER (sonda)
MIME	Multipurpose Internet Mail Extensions
MS-DOS	MS-DOS
Macau	Macao
Macbeth	Macbeth
Macedon	Regno di Macedonia
Macedonia	Macedonia
Macedonia (Greece)	Macedonia (Grecia)
Mach number	Numero di Mach
Machine	Macchina
Machine code	Linguaggio macchina
Machine gun	Mitragliatrice
Machu Picchu	Machu Picchu
Macintosh	Apple Macintosh
Macroeconomics	Macroeconomia
Macroeconomics	Categoria:Macroeconomia
Madagascar	Madagascar
Madagascar	Categoria:Madagascar
Madeira	Madera
Madison	Madison (Wisconsin)
Madonna (entertainer)	Madonna (cantante)
Madrid	Madrid
Madrid (autonomous community)	Madrid (comunità autonoma)
Mafia	Mafia
Magenta	Magenta (colore)
Maghreb	Maghreb
Magic (paranormal)	Magia
Magic square	Quadrato magico
Maginot Line	Linea Maginot
Magma	Magma (geologia)
Magna Carta	Magna Carta
Magnesium	Magnesio
Magnet	Magnete
Magnetic field	Campo magnetico
Magnetic resonance imaging	Imaging a risonanza magnetica
Magnetism	Magnetismo
Magnetism	Categoria:Magnetismo
Magnetite	Magnetite
Magnifying glass	Lente d'ingrandimento
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahayana	Buddhismo Mahayana
Mail	Posta
Maimonides	Mosè Maimonide
Main	Meno (fiume)
Main	Template:Vedi anche
Maine	Maine
Maine	Categoria:Maine
Mainframe computer	Mainframe
Maitreya	Maitreya
Maize	Zea mays
Major	Maggiore
Major scale	Scala maggiore
Majorca	Maiorca
Makalu	Makalu
Malabo	Malabo
Malachite	Malachite
Malacostraca	Malacostraca
Malaria	Malaria
Malawi	Categoria:Malawi
Malayan Tapir	Tapirus indicus
Malaysia	Malesia
Malaysia	Categoria:Malesia
Malcolm X	Malcolm X
Maldives	Maldive
Maldives	Categoria:Maldive
Mali	Mali
Mali	Categoria:Mali
Mallard	Anas platyrhynchos
Malta	Malta
Malta	Categoria:Malta
Maltese language	Lingua maltese
Maltose	Maltosio
Malvaceae	Malvaceae
Mammal	Mammalia
Mammoth	Mammuthus primigenius
Management	Management
Managua	Managua
Manama	Manama
Manatee	Trichechus
Manchester	Manchester
Manchuria	Manciuria
Mandala	Mandala
Mandarin (linguistics)	Lingua cinese mandarino
Mandarin orange	Citrus reticulata
Mandelbrot set	Insieme di Mandelbrot
Manganese	Manganese
Mangrove	Mangrovia
Manhattan	Manhattan
Manhattan Project	Progetto Manhattan
Manichaeism	Manicheismo
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Mannerism	Manierismo
Mannheim	Mannheim
Mantle (geology)	Mantello terrestre
Mantra	Mantra
Mantua	Mantova
Manuel de Falla	Manuel de Falla
Manuscript	Manoscritto
Mao Zedong	Mao Zedong
Maoism	Maoismo
Map	Mappa
Maple	Acer
Maputo	Maputo
Marathon	Maratona (sport)
Marble	Marmo
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
March	Marzo
March 17	17 marzo
March 19	19 marzo
March 2	2 marzo
March 25	25 marzo
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marco Aurelio
Marcus Junius Brutus	Marco Giunio Bruto
Marcus Vipsanius Agrippa	Marco Vipsanio Agrippa
Marduk	Marduk (divinità)
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariana Islands	Isole Marianne
Marie Antoinette	Maria Antonietta d'Asburgo-Lorena
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Mark Antony	Marco Antonio
Mark Twain	Mark Twain
Market	Mercato
Marketing	Marketing
Marketing	Categoria:Marketing
Markup language	Linguaggio di markup
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Donatien Alphonse François de Sade
Marrakech	Marrakech
Marriage	Matrimonio
Mars	Categoria:Marte
Mars (disambiguation)	Marte
Mars (mythology)	Marte (divinità)
Marseille	Marsiglia
Marshall Islands	Isole Marshall
Marshall Plan	Piano Marshall
Marsupial	Metatheria
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Lutero
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navrátilová
Martinique	Martinica
Martyr	Martire
Marx Brothers	Fratelli Marx
Marxism	Marxismo
Marxism	Categoria:Marxismo
Mary (mother of Jesus)	Maria (madre di Gesù)
Mary Magdalene	Maria Maddalena
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maryland	Categoria:Maryland
Maseru	Maseru
Mashhad	Mashhad
Mass	Massa (fisica)
Mass (liturgy)	Celebrazione Eucaristica
Mass number	Numero di massa
Massachusetts	Massachusetts
Massachusetts	Categoria:Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbation	Masturbazione
Mata Hari	Mata Hari
Match	Fiammifero
Materialism	Materialismo
Mathematical logic	Logica matematica
Mathematical logic	Categoria:Logica matematica
Mathematical proof	Dimostrazione matematica
Mathematics	Matematica
Mathematics	Categoria:Matematica
Mathematics	Portale:Matematica
Matrix (mathematics)	Matrice
Matter	Materia (fisica)
Matterhorn	Cervino
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Maundy Thursday	Giovedì Santo
Maurice Ravel	Maurice Ravel
Mauritania	Mauritania
Mauritania	Categoria:Mauritania
Mauritius	Mauritius
Mauritius	Categoria:Mauritius
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maximian	Massimiano
Maxwell's equations	Equazioni di Maxwell
May	Maggio
May 1	1º maggio
May 24	24 maggio
Mayenne	Mayenne
Mayfly	Ephemeroptera
Mayonnaise	Maionese
Mayor	Sindaco
Mbabane	Mbabane
McCarthyism	Maccartismo
Mead	Idromele
Measles	Morbillo
Measure (mathematics)	Misura (matematica)
Measurement	Categoria:Metrologia
Measurement	Misura
Meat	Carne
Mecca	La Mecca
Mechanical engineering	Ingegneria meccanica
Mechanical engineering	Categoria:Ingegneria meccanica
Mechanics	Categoria:Meccanica
Mechanics	Meccanica
Medea	Medea (mitologia)
Median	Mediana (statistica)
Medication	Farmaco
Medici	Medici
Medicine	Medicina
Medicine	Categoria:Medicina
Medina	Medina
Meditation	Meditazione
Mediterranean Sea	Mar Mediterraneo
Medusa	Medusa (mitologia)
Meerkat	Suricata suricatta
Megabyte	Megabyte
Meiosis	Meiosi
Meister Eckhart	Meister Eckhart
Meitnerium	Meitnerio
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanesia	Melanesia
Melody	Melodia
Melpomene	Melpomene
Melting	Fusione (fisica)
Melting point	Punto di fusione
Meme	Meme
Memory	Memoria (fisiologia)
Memphis	Memphis (Tennessee)
Memphis	Menphi
Menachem Begin	Menachem Begin
Mendelevium	Mendelevio
Menelaus	Menelao (mitologia)
Meningitis	Meningite
Mensa (constellation)	Mensa (costellazione)
Menstrual cycle	Ciclo mestruale
Menstruation	Mestruazione
Mentha	Mentha
Mercantilism	Mercantilismo
Mercenary	Mercenario
Mercury	Mercurio
Mercury (element)	Mercurio (elemento)
Mercury (mythology)	Mercurio (divinità)
Mercury (planet)	Mercurio (astronomia)
Meridian (geography)	Meridiano (geografia)
Meritocracy	Meritocrazia
Mermaid	Sirena (mitologia)
Merovingian	Merovingi
Meryl Streep	Meryl Streep
Mescaline	Mescalina
Mesolithic	Mesolitico
Meson	Mesone
Mesopotamia	Mesopotamia
Mesopotamia	Categoria:Mesopotamia
Mesosphere	Mesosfera (atmosfera)
Mesozoic	Mesozoico
Messenger RNA	RNA messaggero
Messiah	Messia
Messina	Messina
Metabolism	Metabolismo
Metadata	Metadato
Metal	Metallo
Metallic bond	Legame metallico
Metalloid	Semimetalli
Metallurgy	Metallurgia
Metallurgy	Categoria:Metallurgia
Metamorphic rock	Roccia metamorfica
Metaphor	Metafora
Metaphysics	Metafisica
Metaphysics	Categoria:Metafisica
Metastasis	Metastasi
Meteor shower	Sciame meteorico
Meteorite	Meteorite
Meteoroid	Meteoroide
Meteorology	Categoria:Meteorologia
Meteorology	Meteorologia
Methadone	Metadone
Methamphetamine	Metanfetamina
Methanol	Metanolo
Methionine	Metionina
Methodism	Metodismo
Methylenedioxymethamphetamine	MDMA
Metis (moon)	Metis (astronomia)
Metonymy	Metonimia
Metre	Metro
Metric space	Spazio metrico
Meuse	Mosa (dipartimento francese)
Meuse River	Mosa (fiume)
Mexico	Messico
Mexico	Categoria:Messico
Mexico City	Città del Messico
Miami	Miami
Mica	Mica
Michael (archangel)	Arcangelo Michele
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo	Michelangelo Buonarroti
Michigan	Michigan
Michigan	Categoria:Michigan
Mick Jagger	Mick Jagger
Mickey Mouse	Topolino
Microbiology	Microbiologia
Microbiology	Categoria:Microbiologia
Microeconomics	Microeconomia
Microeconomics	Categoria:Microeconomia
Micronesia	Micronesia
Microorganism	Microrganismo
Microphone	Microfono
Microprocessor	Microprocessore
Microscope	Microscopio
Microscopium	Microscopio (costellazione)
Microwave	Microonde
Microwave oven	Forno a microonde
Middle Ages	Medioevo
Middle Ages	Categoria:Medioevo
Middle East	Medio Oriente
Middle East	Categoria:Medioriente
Midnight sun	Sole di mezzanotte
Migraine	Emicrania
Miguel de Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Mikhail Bakunin	Michail Aleksandrovič Bakunin
Mikhail Glinka	Michail Ivanovič Glinka
Mikhail Gorbachev	Michail Sergeevič Gorbačëv
Milan	Milano
Mile	Miglio (unità di misura)
Miles Davis	Miles Davis
Military	Categoria:Forze armate
Military rank	Grado militare
Milk	Latte
Milky Way	Via Lattea
Millard Fillmore	Millard Fillmore
Millennium	Millennio
Millimetre	Millimetro
Million	Milione
Millipede	Diplopoda
Milton Friedman	Milton Friedman
Milwaukee	Milwaukee
Minaret	Minareto
Mindanao	Mindanao
Mineral	Minerale
Mineral water	Acqua minerale
Mineralogy	Mineralogia
Mineralogy	Categoria:Mineralogia
Minerva	Minerva
Ming Dynasty	Dinastia Ming
Minimalism	Minimalismo
Mining	Industria mineraria
Minister (government)	Ministro
Minneapolis	Minneapolis
Minnesota	Minnesota
Minnesota	Categoria:Minnesota
Minoan civilization	Civiltà minoica
Minor scale	Scala minore
Minos	Minosse
Minotaur	Minotauro
Minsk	Minsk
Minute	Minuto
Miocene	Miocene
Miracle	Miracolo
Mirror	Specchio
Mishnah	Mishnah
Mississippi	Categoria:Mississippi
Mississippi River	Mississippi (fiume)
