# English-Russian translations created from the Universal dictionary at 2011-04-05T14:49:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 апрель 	 time 
 airport ; airdrome ; aerodrome ; drome 	 аэродром ; аэропорт 	 city 
 alive ; live 	 живой 	 adjective 
 all 	 все ; бсё 	 adjective 
 alone ; lone ; lonely ; solitary 	 одинокий 	 adjective 
 along 	 вдоль 	 adverb 
 already 	 уже 	 adverb 
 alternatively ; instead ; or else 	 вместо 	 adverb 
 altitude ; height 	 высота 	 abstract 
 always ; ever ; e'er 	 всегда 	 adverb 
 among ; amongst ; amid ; amidst 	 среди 	 preposition 
 amount 	 количество 	 abstract 
 and 	 и 	 conjunction 
 angle 	 угол 	 mathematics 
 angry 	 разозлённый 	 adjective 
 animal ; animate being ; beast ; brute ; creature ; fauna 	 животное 	 nature 
 announce ; denote 	 сообщить 	 verb 
 announcement ; proclamation ; annunciation ; declaration 	 провозглашение ; объявление 	 communication 
 another ; some other 	 другой 	 adjective 
 answer ; reply ; respond 	 отвечать ; ответить 	 verb 
 answer ; reply ; response 	 ответ 	 communication 
 ant ; emmet ; pismire 	 муравей 	 animal 
 anteroom ; antechamber ; entrance hall ; hall ; foyer ; lobby ; vestibule 	 прихожая ; вестибюль ; передняя 	 house 
 any ; whatever ; whatsoever 	 любой 	 adjective 
 apartment ; flat 	 квартира 	 society 
 apparel ; wearing apparel ; dress ; clothes 	 одежда ; платье 	 clothes 
 apple 	 яблоко 	 food 
 approximately ; about ; close to ; just about ; some ; roughly ; more or less ; around ; or so 	 приблизительно 	 adverb 
 area ; expanse ; surface area 	 пространство 	 mathematics 
 argent ; silver ; silvery ; silverish 	 серебряный 	 adjective 
 argue ; contend ; debate ; fence 	 спорить 	 verb 
 argue ; reason 	 аргументировать 	 verb 
 argument ; statement 	 аргумент 	 communication 
 arm 	 рука 	 anatomy 
 army ; regular army ; ground forces 	 армия 	 society 
 arrangement ; organization ; organisation ; system 	 организация 	 society 
 arrive ; make it ; get in ; go far 	 приехать 	 verb 
 art ; fine art 	 искусство 	 art 
 artist ; creative person 	 художник 	 profession 
 ask ; inquire ; enquire 	 спрашивать 	 verb 
 aspect 	 аспект 	 abstract 
 assail ; assault ; set on ; attack 	 атаковать 	 verb 
 associate ; tie in ; relate ; link ; colligate ; link up ; connect 	 соединить 	 verb 
 astute ; sharp ; shrewd 	 проницательный 	 adjective 
 at 	 на 	 preposition 
 attack ; onslaught ; onset ; onrush 	 набег 	 abstract 
 attempt ; effort ; endeavor ; endeavour ; try 	 надсада 	 abstract 
 attention ; attending 	 внимание 	 communication 
 attitude ; mental attitude 	 точка зрения 	 abstract 
 audio ; sound 	 звук 	 abstract 
 aureate ; gilded ; gilt ; gold ; golden 	 золотой ; золотистий 	 color 
 authoritative ; important 	 важный 	 adjective 
 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 авторитет 	 society 
 automatic 	 автоматический 	 adjective 
 available 	 доступный 	 adjective 
 avoid 	 уклониться ; избежать 	 verb 
 awake 	 бдительный 	 adjective 
 award ; accolade ; honor ; honour ; laurels 	 награда 	 society 
 baby ; babe ; infant 	 ребёнок 	 family 
 back 	 задняя страница 	 clothes 
 back ; dorsum 	 большой чан ; спина 	 anatomy 
 bad 	 плохой 	 adjective 
 bag 	 мешок 	 object 
 bag ; handbag ; pocketbook ; purse 	 сумка ; сумочка 	 clothes 
 bag ; traveling bag ; travelling bag ; grip ; suitcase 	 чемодан 	 clothes 
 balance 	 баланц 	 physics 
 ball 	 мяч 	 object 
 bang-up ; bully ; corking ; cracking ; dandy ; great ; groovy ; keen ; neat ; nifty ; not bad ; peachy ; slap-up ; swell ; smashing 	 замечательный 	 adjective 
 bank 	 берег 	 nature 
 barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 жестокий 	 adjective 
 bargain ; deal 	 сделка 	 business 
 base ; base of operations 	 военная база 	 society 
 baseball ; baseball game 	 бейсбол 	 sports 
 basic 	 основной 	 adjective 
 basket ; handbasket 	 корзина 	 object 
 bath 	 ванна 	 house 
 bathroom ; bath 	 ванная 	 house 
 be 	 быть 	 verb 
 be ; live 	 жить 	 verb 
 beach 	 пляж 	 nature 
 beak ; bill ; neb ; nib ; pecker 	 клюв 	 anatomy 
 bear 	 медведь 	 animal 
 bear 	 нести 	 verb 
 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 победить 	 verb 
 beautiful 	 красивый 	 adjective 
 because 	 потому 	 conjunction 
 become ; go ; get 	 стать 	 verb 
 bed 	 кровать ; постель 	 house 
 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 спальня 	 house 
 bee 	 пчела 	 animal 
 beer 	 пиво 	 food 
 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 старт 	 abstract 
 beginning ; origin ; root ; rootage ; source 	 источник 	 transport 
 behave ; acquit ; bear ; deport ; conduct ; comport ; carry 	 относиться 	 verb 
 behind 	 сзади ; позади 	 adverb 
 being ; beingness ; existence 	 существование 	 society 
 believe 	 верить 	 verb 
 bell 	 колокол 	 object 
 beloved ; dear ; dearest ; honey ; love 	 дорогой ; дорогая 	 relations 
 bend ; curve 	 povorod 	 transport 
 benefit ; do good 	 преуспевать 	 verb 
 besides ; too ; also ; likewise ; as well 	 tакже ; тоже 	 adverb 
 bespeak ; betoken ; indicate ; point ; signal 	 сигнализировать 	 verb 
 best 	 лучший 	 adjective 
 better 	 лучше 	 adverb 
 better 	 лучший 	 adjective 
 better ; improve ; amend ; ameliorate ; meliorate 	 улучшить 	 verb 
 between ; betwixt 	 между 	 adverb 
 beverage ; drink ; drinkable ; potable 	 напиток 	 food 
 beyond 	 за 	 adverb 
 bicycle ; bike ; wheel ; cycle 	 велосипед 	 object 
 bill ; account ; invoice 	 фактура ; счёт 	 business 
 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 банкнот ; кредитный билет 	 business 
 biology ; biological science 	 биология 	 science 
 bird 	 птица 	 animal 
 birth ; nativity ; nascency ; nascence 	 рождение 	 nature 
 birthday 	 день рождения 	 family 
 bit ; chip ; flake ; fleck ; scrap 	 кусок 	 object 
 bite 	 укус 	 medicine 
 bite ; seize with teeth 	 куснуть 	 verb 
 bitter 	 горький 	 adjective 
 black 	 чёрный 	 adjective 
 blade 	 лезвие 	 object 
 blessing ; approval ; approving 	 одобрение ; согласие 	 communication 
 blood 	 кровь 	 anatomy 
 blow 	 удар 	 abstract 
 blue ; bluish ; blueish 	 голубой 	 color 
 blueprint ; design ; pattern 	 образец 	 object 
 board 	 доска 	 object 
 boat 	 лодка 	 object 
 bone ; os 	 кость 	 anatomy 
 book ; volume 	 книга 	 object 
 boot 	 ботинок 	 clothes 
 boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome 	 нудный 	 adjective 
 both 	 обе 	 adjective 
 bottle 	 бутылка 	 food 
 box 	 коробка 	 object 
 boyfriend ; fellow ; beau ; swain ; young man 	 поклонник 	 family 
 brain ; encephalon 	 мозг 	 anatomy 
 branch 	 ветвь 	 nature 
 brand ; make 	 марка 	 abstract 
 bread ; breadstuff ; staff of life 	 хлеб 	 food 
 break 	 разбить 	 verb 
 breakfast 	 завтрак 	 food 
 breast ; chest 	 грудь 	 anatomy 
 breath 	 дыхание 	 anatomy 
 brick 	 кирпич 	 house 
 bridge ; span 	 мост 	 object 
 bright ; brilliant ; vivid 	 светлый 	 adjective 
 bring ; convey ; take 	 принести 	 verb 
 broken 	 разбитый 	 adjective 
 brother ; blood brother 	 брат 	 family 
 brow ; forehead 	 лоб ; чело 	 anatomy 
 brown ; brownish ; chocolate-brown ; dark-brown 	 коричневый 	 color 
 brush 	 щётка 	 object 
 brusque ; brusk ; curt ; short 	 обрывистый 	 adjective 
 building ; edifice 	 здание 	 city 
 bulk ; mass ; volume 	 количество 	 physics 
 burn ; fire ; burn down 	 спалить 	 verb 
 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 автобус 	 transport 
 business ; concern ; business concern ; business organization ; business organisation 	 коммерция ; бизнес 	 business 
 businessman ; man of affairs 	 бизнесмен 	 profession 
 businesswoman 	 предприниматель 	 business 
 butter 	 масло 	 food 
 buy ; purchase 	 купить 	 verb 
 by ; past 	 мимо 	 adverb 
 by and large ; generally ; more often than not ; mostly 	 обычно 	 adverb 
 cake 	 сладкое ; пирожное 	 food 
 calculator ; reckoner ; figurer ; estimator ; computer 	 арифмометр ; счётчик 	 device 
 calendar month ; month 	 месяц 	 time 
 call ; phone call ; telephone call 	 звонок ; зов ; оклик 	 communication 
 call ; telephone ; call up ; phone ; ring 	 звонить 	 verb 
 camera ; photographic camera 	 фотоаппарат 	 object 
 campaign ; cause ; crusade ; drive ; movement ; effort 	 кампания 	 abstract 
 can ; tin ; tin can 	 консерва 	 object 
 capital 	 столица 	 society 
 capital ; capital letter ; uppercase ; upper-case letter ; majuscule 	 заглавная буква 	 linguistics 
 capital ; working capital 	 капитал 	 business 
 car ; auto ; automobile ; machine ; motorcar 	 автомобиль ; машина 	 transport 
 carbohydrate ; saccharide ; sugar 	 углевод 	 food 
 card 	 карточка 	 object 
 cardinal ; central ; fundamental ; key ; primal 	 основной 	 adjective 
 care 	 заботиться 	 verb 
 care ; attention ; aid ; tending 	 попечение 	 abstract 
 case ; instance ; example 	 случай 	 abstract 
 castle 	 замок ; кремль 	 city 
 cat ; true cat 	 кот ; кошка 	 animal 
 catch ; grab ; take hold of 	 схватить 	 verb 
 cause 	 причина 	 abstract 
 cell 	 ячейка ; клетка 	 anatomy 
 cell ; jail cell ; prison cell 	 келья 	 society 
 cellular telephone ; cellular phone ; cellphone ; cell ; mobile phone 	 мобильный телефон ; мобильник 	 device 
 center ; centre ; middle ; heart ; eye 	 середина ; средняя часть 	 mathematics 
 center ; centre ; midpoint 	 центр 	 mathematics 
 central 	 центральный 	 adjective 
 central ; telephone exchange ; exchange 	 коммутатор 	 society 
 century 	 век 	 time 
 certain ; sure 	 верный 	 adjective 
 chain 	 цепь 	 object 
 chair 	 стул 	 house 
 championship ; title 	 чемпионат 	 sports 
 change 	 мелочь 	 business 
 change ; alter ; modify 	 изменить 	 verb 
 change ; alteration ; modification 	 перемена 	 abstract 
 character ; grapheme ; graphic symbol 	 знак 	 linguistics 
 charge 	 такса 	 business 
 charge ; accuse 	 обвинить 	 verb 
 charge ; bill 	 составлять фактуру ; засчитывать 	 verb 
 charge ; complaint 	 нарекание 	 society 
 charge ; electric charge 	 заряд 	 nature 
 cheap ; inexpensive 	 дешевый 	 adjective 
 check ; bank check ; cheque 	 чек 	 business 
 cheese 	 сыр 	 food 
 chemical ; chemic 	 химический 	 adjective 
 chemical ; chemical substance 	 химикат 	 material 
 chemical element ; element 	 элемент 	 material 
 chemistry ; chemical science 	 химия 	 science 
 chest 	 ларь 	 object 
 chief ; main ; primary ; principal ; master 	 главный 	 adjective 
 child ; kid 	 ребёнок 	 nature 
 child ; kid ; youngster ; minor ; shaver ; nipper ; small fry ; tiddler ; tike ; tyke ; fry ; nestling 	 юноша ; паренёк 	 family 
 chin ; mentum 	 подбородок 	 anatomy 
 chocolate 	 шоколад 	 food 
 choice ; selection ; option ; pick 	 выбор 	 abstract 
 choose ; take ; select ; pick out 	 выбрать 	 verb 
 church ; church building 	 церковь ; храм 	 city 
 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 кино ; кинотеатр 	 city 
 circle 	 круг 	 mathematics 
 city ; metropolis ; urban center 	 мегаполис 	 society 
 claim 	 требование 	 society 
 claim 	 утверждение 	 communication 
 clandestine ; cloak-and-dagger ; hole-and-corner ; hugger-mugger ; hush-hush ; secret ; surreptitious ; undercover ; underground 	 секретный 	 adjective 
 class ; form ; grade ; course 	 ранг ; класс 	 art 
 classify ; class ; sort ; assort ; sort out ; separate 	 сортировать 	 verb 
 clean 	 чистый 	 adjective 
 clean ; make clean 	 чистить 	 verb 
 clear 	 явный 	 adjective 
 clearly 	 ясно 	 adverb 
 clock 	 часы 	 device 
 close ; shut 	 закрывать 	 verb 
 clothing ; article of clothing ; vesture ; wear ; wearable ; habiliment 	 одежда 	 clothes 
 cloud 	 облако 	 nature 
 club 	 дубинка 	 object 
 club ; social club ; society ; guild ; gild ; lodge ; order 	 клуб 	 society 
 coal 	 уголь 	 material 
 coat 	 пальто ; пиджак 	 clothes 
 coffee ; java 	 кофе 	 food 
 cognition ; knowledge ; noesis 	 знание 	 education 
 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 круг 	 object 
 cold 	 холодный 	 adjective 
 cold ; common cold 	 простуда ; насморк 	 medicine 
 coldness ; cold ; low temperature ; frigidity ; frigidness 	 холод 	 nature 
 collar ; neckband 	 воротник ; туфля 	 clothes 
 color ; colour 	 цветной 	 adjective 
 color ; colour ; coloring ; colouring 	 окрашенность ; цвет 	 art 
 coloring material ; colouring material ; color ; colour 	 краска 	 art 
 come ; come up 	 приходить 	 verb 
 committee ; commission 	 комитет ; комиссия 	 society 
 common 	 обычный 	 adjective 
 common ; mutual 	 совместный 	 adjective 
 common ; usual 	 обычный 	 adjective 
 community 	 община 	 society 
 company 	 предприятие 	 business 
 company ; companionship ; fellowship ; society 	 общество 	 society 
 compare 	 сравнивать 	 verb 
 comparison ; comparing 	 сравнение 	 abstract 
 competition 	 конкуренция ; соревнование 	 business 
 complete ; consummate 	 комплектный 	 adjective 
 complete ; finish 	 закончить ; докончить 	 verb 
 complimentary ; costless ; free ; gratis ; gratuitous 	 бесплатный 	 adjective 
 component ; constituent ; element ; factor ; ingredient 	 элемент 	 mathematics 
 computer ; computing machine ; computing device ; data processor ; electronic computer ; information processing system 	 компьютер 	 device 
 concert 	 концерт 	 art 
 concluding ; final ; last ; terminal 	 конечный 	 adjective 
 condition ; status 	 состояние 	 abstract 
 confront ; face up ; face 	 давать отпор ; противостоять 	 verb 
 connection ; connexion ; connectedness 	 соединение 	 abstract 
 connection ; connexion ; connector ; connecter ; connective 	 подключение 	 abstract 
 conscious ; witting 	 сознающий 	 adjective 
 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 последствие 	 medicine 
 construct ; build ; make 	 строить 	 verb 
 contend ; fight ; struggle 	 драться 	 verb 
 contest ; competition 	 соревнование ; состязание 	 society 
 continue ; go on ; proceed ; go along ; keep 	 продолжать 	 verb 
 contract 	 контракт 	 business 
 control 	 проверка 	 abstract 
 control ; command 	 контролировать 	 verb 
 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 спор 	 mathematics 
 cook 	 варить 	 verb 
 cook 	 повар ; кухарка 	 profession 
 cook ; fix ; ready ; make ; prepare 	 готовить 	 verb 
 cope ; get by ; make out ; make do ; contend ; grapple ; deal ; manage 	 справиться 	 verb 
 copy 	 копия 	 object 
 copy ; re-create 	 копировать 	 verb 
 correct ; right 	 правильный 	 adjective 
 cost 	 расход 	 society 
 cotton 	 хлопок 	 material 
 cotton ; cotton fiber ; cotton wool 	 хлопок 	 material 
 cough 	 кашлять 	 verb 
 cough ; coughing 	 кашель 	 medicine 
 council 	 совет 	 society 
 count ; matter ; weigh 	 иметь значение 	 verb 
 country ; state ; land 	 страна 	 society 
 couple ; pair ; twosome ; twain ; brace ; span ; yoke ; couplet ; distich ; duo ; duet ; dyad ; duad 	 пара 	 number 
 course ; course of study ; course of instruction ; class 	 курс 	 education 
 court ; courtroom 	 зал суда 	 society 
 court ; tribunal ; judicature 	 суд 	 society 
 cow ; moo-cow 	 корова 	 animal 
 crack ; cleft ; crevice ; fissure ; scissure 	 брешь 	 abstract 
 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 преступление 	 society 
 crude ; rough 	 грубый 	 adjective 
 crush 	 разгромить 	 verb 
 crush ; crunch ; compaction 	 раздробление 	 abstract 
 cry ; outcry ; call ; yell ; shout ; vociferation 	 крик ; возглас 	 communication 
 cry ; weep 	 плакать 	 verb 
 culture ; civilization ; civilisation 	 культура 	 society 
 cup 	 чашка 	 food 
 cup ; loving cup 	 кубок 	 object 
 cupboard ; closet 	 шкаф 	 house 
 current 	 современный 	 adjective 
 current ; electric current 	 струя 	 nature 
 current ; stream 	 течение ; поток 	 nature 
 curtain ; drape ; drapery ; mantle ; pall 	 занавеска 	 house 
 curvature ; curve 	 искривление ; кривизна ; изгиб 	 mathematics 
 curve ; curved shape 	 кривая ; дуга 	 art 
 customer ; client 	 покупатель ; заказчик ; клиент 	 business 
 cut 	 резать 	 verb 
 cut ; cutting 	 срез 	 abstract 
 dainty ; nice ; overnice ; prissy ; squeamish 	 щепетильный 	 adjective 
 damage 	 повредить 	 verb 
 damage ; harm ; impairment 	 поломка 	 transport 
 dance ; trip the light fantastic ; trip the light fantastic toe 	 танцевать 	 verb 
 dance band ; band ; dance orchestra 	 оркестр 	 art 
 danger 	 опасность 	 abstract 
 dangerous ; unsafe 	 опасный 	 adjective 
 dark 	 тёмный 	 adjective 
 data ; information 	 сведениe ; информация 	 communication 
 date ; appointment ; engagement 	 встреча ; свидание 	 relations 
 date ; day of the month 	 дата ; число 	 time 
 daughter ; girl 	 дочь 	 family 
 day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day ; mean solar day 	 день 	 nature 
 daze ; shock ; stupor 	 шок 	 abstract 
 dead 	 мёртвый 	 adjective 
 dead 	 покойник 	 society 
 death 	 смерть 	 nature 
 death ; decease ; expiry 	 смерть 	 abstract 
 decide ; make up one's mind ; determine 	 решить 	 verb 
 decision ; determination ; conclusion 	 заключение ; решение 	 communication 
 decoration ; ornament ; ornamentation 	 декорация 	 object 
 deep 	 глубокий 	 adjective 
 defense ; defence ; defense force ; defence force 	 оборона 	 abstract 
 degree 	 степень 	 linguistics 
 degree ; grade ; level 	 уровень 	 linguistics 
 delicate 	 деликатный ; щекотливый 	 adjective 
 delicate ; fragile ; frail 	 хрупкий 	 adjective 
 deliver 	 вручить 	 verb 
 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 поведения 	 abstract 
 democracy ; republic ; commonwealth 	 демократия ; республика 	 society 
 department ; section 	 отделение 	 society 
 dependable ; good ; safe ; secure 	 безопасный 	 adjective 
 deplorable ; distressing ; lamentable ; pitiful ; sad ; sorry 	 грустный 	 adjective 
 depository financial institution ; bank ; banking concern ; banking company 	 банк 	 city 
 describe ; depict ; draw 	 описать 	 verb 
 design ; designing 	 проект 	 abstract 
 design ; plan 	 предложить 	 verb 
 desire ; want 	 хотеть 	 verb 
 desk 	 письменный стол 	 house 
 despite 	 несмотря 	 preposition 
 destruction ; devastation 	 разрушение 	 abstract 
 detail ; particular ; item 	 подробность ; деталь 	 logistics 
 detect ; observe ; find ; discover ; notice 	 обнаружить 	 verb 
 determine ; check ; find out ; see ; ascertain ; watch ; learn 	 определить ; узнать 	 verb 
 develop 	 развиваться 	 verb 
 development ; evolution 	 эволюция ; развитие 	 nature 
 deviation ; divergence ; departure ; difference 	 отклонение 	 mathematics 
 dictionary ; lexicon 	 словарь 	 linguistics 
 die ; decease ; perish ; go ; exit ; pass away ; expire ; pass ; kick the bucket ; cash in one's chips ; buy the farm ; conk ; give-up the ghost ; drop dead ; pop off ; choke ; croak ; snuff it 	 умереть 	 verb 
 difference 	 разница 	 abstract 
 different 	 другой 	 adjective 
 different 	 другой 	 adjective 
 difficult ; hard 	 трудный 	 adjective 
 difficulty 	 трудность 	 abstract 
 direction 	 направление 	 mathematics 
 directly ; straight ; direct 	 прямо 	 adverb 
 director ; manager ; managing director 	 директор 	 profession 
 dirty ; dingy ; muddied ; muddy 	 грязный 	 adjective 
 dirty ; soiled ; unclean 	 грязный 	 adjective 
 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 дисциплина 	 linguistics 
 discover ; find 	 узнавать 	 verb 
 discovery ; breakthrough ; find 	 находка 	 abstract 
 discovery ; find ; uncovering 	 находка 	 society 
 discussion ; give-and-take ; word 	 диспут ; прения ; беседа 	 communication 
 disease 	 болезнь 	 medicine 
 dislike 	 не любить 	 verb 
 displace ; fire ; give notice ; can ; dismiss ; give the axe ; send away ; sack ; force out ; give the sack ; terminate 	 сократить 	 verb 
 distance 	 расстояние 	 mathematics 
 diverse ; various 	 различный 	 adjective 
 diverseness ; diversity ; multifariousness ; variety 	 разнообразность ; разнообразие ; пестрота 	 art 
 divide ; split ; split up ; separate ; dissever ; carve up 	 разделить 	 verb 
 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 разделение 	 mathematics 
 doctor ; doc ; physician ; MD ; Dr. ; medico 	 врач ; доктор 	 profession 
 dog ; domestic dog ; Canis familiaris 	 собака 	 animal 
 dominance ; ascendance ; ascendence ; ascendancy ; ascendency ; control 	 перевес 	 abstract 
 dominion ; rule 	 господство 	 society 
 door 	 дверь ; створка 	 house 
