-ible	-аемый
International Phonetic Alphabet	международный фонетический алфавит
Internet	интернет
Internet Protocol	межсетевой протокол
Iran	Иран
Iraq	Ирак
Iraqi	Иракско
Ireland	Ирландия
Irene	Ирина
Irish	ирландский
Irish	ирландец
Irish Sea	Ирландское море
Iron Age	железный век
Is it going to rain?	Будет дождь?
Isaac	Исаак
Islam	ислам
Islamic	исламский
Israel	Израиль
Istanbul	Стамбул
Italian	итальянский
Italian	итальянец
Italy	Италия
Ivory Coast	Кот-д'Ивуар
Ixion	Иксион
Ixion	28978 Иксион
Jacob	Иаков
Jainism	Джайнизм
Jalalabad	Джалалабад
Jamaica	Ямайка
James	Яков
Jane	Иванна
January	январь
Janus	Янус
Japan	Япония
Japanese	японский
Japanese	японец
Jehovah	Иегова
Jehovah's Witnesses	Свидетели Иеговы
Jehovah's Witnesses	свидетель Иеговы
Jerusalem	Иерусалим
Jesus	Иисус
Jesus Christ	Иисус Христос
Jew	иудей
Jew's harp	варган
Jewish	еврейский
Joachim	Аким
John	Иван
John	Иоанн
Jordan	Иордания
Jordan	Иордан
Joseph	Иосиф
Judaism	иудаизм
Julia	Юлия, (Julija)
July	июль
June	июнь
Jupiter	Юпитер
Justin	Юстин
Kabul	Кабул
Kali	Кали
Karachi	Карачи
Karelian	карельский
Karlovac	Карловац
Kashubian	кашубский
Kazakhstan	Казахстан
Kazan	Казань
Kenya	Кения
Khartoum	Хартум
Khrushchev	Хрущёв
Kiev	Киев
Kiribati	Кирибати
Klingon	клингонский
Kohtla-Järve	Кохтла-Ярве
Korea	Корея
Korean	корейский
Korean	кореец
Kosovo	Косово
Kurdish	курдский
Kuwait	Кувейт
Kyoto	Киото
Kyrgyzstan	Киргизстан
Lao	лаосец
Lao	лаосский
Laos	Лаос
Laotian	лаосец
Laotian	лаосский
Latin	латинский язык
Latin	латинский
Latin	римлянин
Latin	римский
Latin	романский
Latin alphabet	латиница
Latvia	Латвия
Latvian	латышский
Latvian	латыш
Laurence	Лаврентий
Lebanon	Ливан
Leo	Лев
Lesotho	Лесото
Liberia	Либерия
Libra	Весы
Libya	Ливия
Liechtenstein	Лихтенштейн
Lisbon	Лиссабон
Lithuania	Литва
Lithuanian	литовский язык
Lithuanian	литовец
Lithuanian	литовский
Little Red Riding Hood	Красная Шапочка
Liverpool	Ливерпуль
Livonian	ливский
London	Лондон
London	лондонский
Lucian	Лукиан
Luke	Лука
Luxembourg	Люксембург
Macedonia	Македония
Macedonian	македонский
Macedonian	македонец
Madagascar	Мадагаскар
Malawi	Малави
Malay	малайский
Malaysia	Малайзия
Maldives	Мальдивы
Mali	Мали
Malta	Мальта
Man	человек
Mandarin	мандаринский
Manila hemp	манильская пенька
Manitoba	Манитоба
March	март
Margaret	Маргарита
Mark	Марк
Mars	Марс
Marshall Islands	Маршалловы острова
Marshallese	маршалльский
Martha	Марфа
Martian	марсианин
Martin	Мартин
Martinique	Мартиника
Marxism	мaрксизм
Mary	Мария
Matthew	Матвей
Mauritania	Мавритания
Mauritius	Маврикий
May	май
Mayotte	Майотта
Mazandaran	Мазендеран
McDonald's	Макдональдс
Mediterranean Sea	Средиземное море
Mercury	Меркурий
Merry Christmas	С Рождеством Христовым
Merry Christmas and a Happy New Year!	С Рождеством Христовым и с Новым годом
Mesolithic	Мезолит
Meuse	Маас
Mexico	Мексика
Mexico	Мехико
Mexico City	Мехико
Micah	Михей
Michael	Михаил
Mickey Mouse	Микки Маус
Micronesia	Микронезия
Milan	Милан
Milky Way	Млечный путь
Miriam	Мариамна
Mississippi	Миссисипи
Missouri	Миссури
Mohammad	Мухаммед
Moksha	мокшанский
Moldova	Молдова
Monaco	Монако
Monastir	Битола
Monday	понедельник
Mongolia	Монголия
Mongolian	монгольский
Mongolian	монгол
Moon	Луна
Morocco	Марокко
Moscow	Москва
Moses	Моисей
Mount Everest	Эверест
Mozambique	Мозамбик
Muay Thai	тайский бокс
Muggle	Маггл
Muhammad	Мухаммед
Munich	Мюнхен
Muscat	Маскат
Muse	муза
Muslim	мусульманин
Muslim	мусульманский
Myanmar	Мьянма
Möbius strip	лист Мёбиуса
NATO	НАТО
Nagykanizsa	Надьканижа
Nahuatl	науатль
Namibia	Намибия
Naples	Неаполь
Narva	Нарва
Nauru	Науру
Naypyidaw	Пьинмана
Nenets	ненецкий
Neolithic	Неолит
Nepal	Непал
Neptune	Нептун
Netherlands	Нидерланды
Netherlands	нидерландский
New Delhi	Нью-Дели
New Guinea	Новая Гвинея
New Jersey	Нью-Джерси
New Testament	Новый Завет
New Year	Новый год
New Year's Day	Новый год
New York	Нью-Йорк
New York	шт. Нью-Йорк
New York City	Нью-Йорк
New Zealand	Новая Зеландия
Nicaragua	Никарагуа
Nicholas	Николай
Niger	Нигер
Nigeria	Нигерия
Nike	Ника
Nile	Нил
Niue	остров Ниуэ
Noah	Ной
Norfolk Island	Норфолкские острова
North America	Северная Америка
North Korea	Северная Корея
North Pole	Северный полюс
North Sea	Северное море
Northern Europe	Северная Европа
Northern Territory	Северная территория
Norway	Норвегия
Norwegian	норвежский
Norwegian	норвежец
November	ноябрь
Novi Sad	Нови Сад
Occam's razor	бритва Оккама
Occitan	окситанский
Oceania	Океания
October	октябрь
Odyssey	Одиссея
Old Slavonic	праславянский язык
Olympic Games	Олимпийские игры
Olympic Winter Games	Зимние Олимпийские игры
Oman	Оман
Orinoco	Ориноко
Orion	Орион
Ouagadougou	Уагадугу
Oxford	Оксфорд
Pacific Ocean	Тихий океан
Pakistan	Пакистан
Palau	Палау
Paleolithic	Палеолит
Palestine	Палестина
Panama	Панама
Pangaea	Пангея
Papua New Guinea	Папуа-Новая Гвинея
Paraguay	Парагвай
Paris	Париж
Paris	Парис
Paul	Павел
People's Republic of China	Китайская Народная Республика
Persia	Персия
Persian	перс
Peru	Перу
Peshawar	Пешавар
Philippines	Филиппины
Pisces	Рыбы
Planck's constant	постоянная Планка
Pliny	Плиний
Plutarch	Плутарх
Pluto	Плутон
Poland	Польша
Polish	польский
Popemobile	папамобиль
Portugal	Португалия
Portuguese	португальский
Prague	Прага
Protestant	протестант
Proto-Indo-European	праиндоевропейский язык
Puerto Rico	Пуэрто-Рико
Punjab	Панджаб
Punjabi	пенджабский
Pythagoras	Пифагор
Pärnu	Пярну
QED	ч. т. д.
Qatar	Катар
Quechua	кечуа
Qur'an	Коран
Rachel	Рахиль
Ramadan	Рамадан
Rangoon	Янгон
Red Sea	Красное море
Republic of Korea	Республика Коре́я
Revelation	Апокалипсис
Rhine	Рейн
Richard	Ричард
Robert	Роберт
Roman	римский
Romania	Румыния
Rome	Рим
Rome wasn't built in a day	Москва не сразу строилась
Rosetta Stone	Розеттский камень
Roxanne	Роксана
Russia	Россия
Russian	русский
Russian	российский
Russian Federation	Российская Федерация
Rwanda	Руанда
Saami	саамский язык
Sagittarius	Стрелец
Saint Kitts and Nevis	Сент-Кристофер и Невис
Saint Lucia	Сент-Люсия
Saint Vincent and the Grenadines	Сен-Винсент и Гренадины
Sami	саамский язык
Samoa	Самоа
Samosata	Самосата
Samuel	Самуил
San Francisco	Сан-Франциско
San Marino	Сан Марино
Sanskrit	санскрит
Santa Claus	Дед Мороз
Sarah	Сара
Sarajevo	Сараево
Satan	Сатана
Saturday	суббота
Saturn	Сатурн
Saudi Arabia	Саудовская Аравия
Scandinavia	Скандинавия
Schrödinger's cat	кот Шрёдингера
Scorpio	Скорпион
Scorpius	Скорпион
Scotland	Шотландия
Scottish Gaelic	шотландский
Sea of Japan	Японское море
Senegal	Сенегал
Seoul	Сеул
September	сентябрь
Septuagint	Септуагинта
Serb	серб
Serbia and Montenegro	Сербия и Черногория
Serbian	серб
Serbian	сербский
Seychelles	Сейшелы
Shanghai	Шанхай
Sherlock Holmes	Шерлок Холмс
Shiraz	Шираз
Siberia	Сибирь
Sicily	Сицилия
Sierra Leone	Сьерра-Леоне
Singapore	Сингапур
Skopje	Скопье
Slav	славянин
Sleeping Beauty	Спящая Красавица
Slovakia	Словакия
Slovene	словенский
Slovene	словенец
Slovenia	Словения
Slovenian	словенский
Slovenian	словенец
Sofia	София
Solomon Islands	Соломоновы острова
Somalia	Сомали
Sorbian	лужицкий
South Africa	Южная Африка
South America	Южная Америка
South Korea	Южная Корея
South Pole	Южный полюс
Southern Europe	Южная Европа
Soviet Union	Советский Союз
Space Shuttle	многоразовый транспортный космический корабль
Spain	Испания
Spaniard	Испанец
Spanish	испанский
Spanish	испанец
Spider-Man	Человек-паук
Sri Lanka	Шри-Ланка
Stephen	Степан
Stone Age	Каменный век
Sudan	Судан
Sudeten	Судеты
Sudetenland	Судетская область
Suez Canal	Суэцкий канал
Sumerian	шумерский язык
Sun	Солнце
Sunday	воскресенье
Supreme Leader	высший руководитель
Suriname	Суринам
Svalbard	Свалбард
Svalbard and Jan Mayen Islands	Свалбард и Ян Мейен острова
Swahili	суахили
Swaziland	Свазиленд
Sweden	Швеция
Switzerland	Швейцария
Sydney	Сидней
Syria	Сирия
T-shirt	футболка
TV	ТВ
Taiwan	Тайвань
Taiwanese	тайванец
Taj Mahal	Тадж-Махал
Tajik	таджикский
Tajikistan	Таджикистан
Tallinn	Таллин
Tamil	тамил
Tamil Tigers	Тамильские тигры
Tanzania	Танзания
Tartu	Тарту
Tasmania	Тасмания
Tatar	татарский язык
Taurus	Телец
Tehran	Тегеран
Template:A-bomb/Translations	атомная бомба
Template:color-colour (noun)	цвет
Template:color-colour (verb)	красить
Template:color-colour (verb)	краснеть
Template:mirror/Translations	зеркало
Template:program-programme-noun	программа
Ten Commandments	десять заповедей
Tetris	Тетрис
Teutonic Knights	Тевтонский орден
Thai	тайский
Thailand	Таиланд
Thames	Темза
The Hague	Гаага
Thomas	Фома
Thursday	четверг
Tibet	Тибет
Tigris	Тигр
Timişoara	Тимишоара
Tirana	Тирана
Togo	Того
Tokelau	Токелау острова
Tokyo	Токио
Tonga	Тонга
Transnistria	Приднестровье
Transylvania	Трансильвания
Trinidad and Tobago	Тринидад и Тобаго
Tuesday	вторник
Tunisia	Тунис
Turkey	Турция
Turkish	турецский
Turkmenistan	Туркменистан
Tuvalu	Тувалу
UFO	НЛО
USA	США
USSR	СССР
Uganda	Уганда
Ukraine	Украина
Ukrainian	украинский
Ukrainian	украинец
Uluru	Улуру
Unicode	Юникод
Union of Soviet Socialist Republics	Союз Советских Социалистических Республик
United Arab Emirates	Объединённые Арабские Эмираты
United Kingdom	Великобритания
United Nations	Организация Объединённых Наций
United States Army	Армия Соединённых Штатов Америки
United States of America	Соединённые Штаты Америки
Uranus	Уран
Uruguay	Уругвай
Uzbekistan	Узбекистан
Vancouver	Ванкувер
Vanuatu	Вануату
Vatican City	Ватикан
Venezuela	Венесуэла
Venus	Венера
Victoria	Виктория
Vienna	Вена
Vietnam	Вьетнам
Vietnamese	вьетнамский
Vietnamese	вьетнамец
Vincent	Винсент (Winsent)
Virgin Mary	Дева Мария
Virgo	Дева
Vulgar Latin	вульгарная латынь
Wales	Уэльс
Wallachia	Валахия
Warsaw	Варшава
Wednesday	среда
Western Europe	Западная Европа
Western Sahara	Западная Сахара
Wheel of Fortune	Колесо удачи
White House	Белый дом
Wikimedia Foundation	Фонд Викимедиа
Wikipedia	Википедия
Wiktionary	Викисловарь
Wiktionary:Votes/2007-10/Lemma entries/words	sc=Cyrl
William	Vilgelm
World War I	Первая мировая война
World War II	Вторая Мировая война
X-ray	рентген
X-ray	рентгеновский луч
Xerxes	Ксеркс
Xhosa	коса
Yangon	Янгон
Yellow Sea	Жёлтое море
Yemen	Йемен
Yiddish	идиш
Young's modulus	модуль Юнга
Yugoslavia	Югославия
Zagreb	Загреб
Zambia	Замбия
Zimbabwe	Зимбабве
Zoroastrianism	Зороастризм
Zürich	Цюрих
a little	немного
aardvark	трубкозуб
abaca	текстильный банан
abash	смущать
abbey	аббатство
abdomen	брюшная полость
abduct	похитить
abessive case	абессив
abhor	ненавидеть
ability	возможность
ablative case	аблятивный падеж
abolish	отменить
abortion	аборт
about	кругом
about	приблизительно
about	о
about	почти
about	рядом
about	готов
about	по
about	вокруг
about	в окружности
abscess	гнойничок
absinth	полынь
absinthe	абсент
absolute	абсолютный
absolute zero	абсолютный нуль
absolutive case	абсолютный падеж
absolve	освобождать
absorb	поглощать
absorption	всасывание
abstract	конспект
abstract	абстрактный
abuse	злоупотребление
abuse	издевательство
abuse	издеваться
abuse	злоупотреблять
accelerate	ускорять
accelerate	ускоряться
acceleration	ускорение
accept	:ru:принять
acceptance	одобрение
according to	согласно
according to	соответственно
accordion	гармоника
accumulator	аккумулятор
accurate	аккуратный
accusative	винительный падеж
accusative	винительный
accusative case	винительный падеж
accusatory	обвинительно
accuse	винить
ace	туз
ace	ас
acid	кислый
acid	кислота
acid	кислятина
acid	кислотный
acid	тартрат диэтиламида лизергиновой кислоты
acorn	жёлудь
acquired immune deficiency syndrome	синдром приобретённого иммунодефицита
acronym	акроним
actinium	актиний
action	действие
activity	деятельность
actor	актёр
actor	деятель
actress	актриса
actual	действительный
actual	нынешний
actually	действительно
acupuncture	акупунктура
add	:ru:прибавить
add	добавить
addition	сложение
adjective	имя прилaгaтeльнoe
adjective	прилaгaтeльный
adjust	отрегулировать
administrator	администратор
admiration	восхищение
adult	взрослый
adultery	прелюбодеяние
advantage	преимущество
adventure	авантюра
adventure	приключение
adverb	наречие
advertisement	объявление
advice	совет
advocate	адвокат
aeroplane	самолёт
aesthetics	эстетика
aetiology	этиология
after	после
after	за
after	в честь
after	из-за
afternoon	пополудни
again	опять
against	против
age	возраст
age	эпоха
age	поколение
age	стареть
age	старость
aggressive	нападающий
agnosticism	агностицизм
ago	тому назад
agoraphobia	Агорафобия
agouti	агути
agree	согласовывать
agreement	согласие
agreement	соглашение
aid	помогать
aim	цель
air	воздух
air force	военно-воздушные силы
aircraft	летательный аппарат
aircraft carrier	авиаматка
airplane	самолёт
airport	аэропорт
al-Qaeda	Аль-Каида
alarm clock	будильник
albatross	альбатрос
albeit	хотя
albino	cуществительное
albumen	белок
alchemist	алхимик
alcohol	алкогольный напиток
alcohol	спирт
alcoholic	алкоголик
alcoholic	алкогольный
alder	ольха
ale	эль
algebra	алгебра
algorithm	алгоритм
alibi	алиби
alien	пришелец
alien	иностранец
alien	чужак
alive	жив
all	весь
all	совсем
allative case	аллативный падеж
alligator	аллигатор
alloy	сплав
almond	миндаль
almost	почти
alone	одинокий
alpaca	альпака
alpha	альфа
alphabet	алфавит
alphabetic	алфавитный
alphabetical	алфавитный
alpine chough	альпийская галка
already	уже
also	тоже
although	несмотря на то, что
aluminium	алюминий
aluminum	алюминий
always	всегда
amaranth	амарант
amber	янтарь
amber	янтарный
ambigram	амбиграмма
ambrosia	амброзия
ambulance	санитарная машина
ameliorate	улучшать
americium	америций
amethyst	аметист
among	среди
ampersand	амперсанд
amphetamine	амфетамин
amphibian	амфибия
an	''not used''
anachronistic	анахронистическо
anagram	анаграмма
anal sex	анальный секс
analogy	аналогия
analyst	аналитик
anarchism	анархизм
anarchy	анархия
anatomy	анатомирование
anchor	якорь
anchovy	анчоус
ancient	древний
and	и
angel	ангел
anger	гнев
angle	угол
animal	животное
animal	звериный
anime	аниме
ankle	лодыжка
anno Domini	после
annoy	надоедать
annual	годичный
answer	ответ
answer	решение
ant	муравей
antelope	антилопа
antenna	антенна
anthill	муравейник
anthrax	сибирская язва
anthropology	антропология
antichrist	антихрист
anticlockwise	против часовой стрелки
antimony	сурьма
antler	рога
anus	анус
any	любой
anyone	кто-либо
apatite	апатит
ape	обезьяна
aphorism	афоризм
apology	извинение
apostasy	отступничество
apostrophe	апостроф
apothecary	аптекарь
apothecary	аптека
appendicitis	аппендицит
appendix	приложение
appendix	аппендикс
apple	яблоко
apple	яблоня
apple pie	яблочный пирог
apple tree	яблоня
appreciate	высоко ценить
appreciate	быть признательным
appreciate	принимать во внимание
appreciate	дорожать
approximately	приблизительно
apricot	абрикос
aquatic	акватический
arbitrary	произвольный
archaeology	археология
archaic	архаичный
archangel	архангел
archduke	эрцгерцог
archer	лучник
architect	архитектор
architecture	архитектура
archive	архив
archive	архивировать
are	суть
are	''(not used)''
are	ар
area	площадь
argent	серебро
argent	серебристый
arginine	аргинин
argon	аргон
argument	обоснование
argument	спор
arise	возникать
arithmetic	арифметика
arm	рука
arm	оружие
armpit	подмышка
army	армия
arrange	устраивать
arrow	стрела
arrow	стрелка
arsenic	мышьяк
art	искусство
artery	артерия
artichoke	(artishok koliuchii)
article	статья
article	артикль
article	предмет
as	как
as	когда
as	поскольку
ash	пепел
ash	ясень
ask	спрашивать
ask	просить
aspect	вид
aspirin	аспирин
ass	осёл
ass	жопа
asshole	жопа
asshole	засранец
astatine	астат
asteroid	астероид
astronaut	космонавт
astronomy	астрономия
at	в
at sign	собака
at symbol	собака
atheism	атеизм
atheist	атеист
atmosphere	атмосфера
atom	атом
atom bomb	атомная бомба
atomic bomb	атомная бомба
atrocity	злодеяние
attach	прикреплять
attack	атака
attempt	пытаться
attic	чердак
aubergine	баклажан
aunt	тётка
aunt	(''colloq.'') тётя
author	автор
authority	авторитет
autobiography	автобиография
autocracy	автократия
automobile	автомобиль
autonomous	автономно
autonomy	автономия
autumn	осень
availability	наличие
avalanche	лавина
avenue	проспект
average	среднее
aviation	авиация
avocado	авокадо
avoid	избегать
awl	шило
axe	топор
axis	oсь
axis of evil	ось зла
ayatollah	Аятолла
aye-aye	айе-айе
azure	голубой
baboon	бабуин
babysitter	приходящая няня
back	спина
back	зад
backbone	позвоночник
backbone	стержень
backgammon	нарды
bacon	бекон
bad	плохой
badger	барсук
bagel	бублик
bagpipes	волынка
baker	хлебопёк
bakery	хлебопекарня
baklava	пахлава
balalaika	балалайка
balance	весы
balcony	балкон
bald	лысый
ball	мяч
ball	шар
ball	бал
ball	яйцо
ball	клубок
ball	сфера
balloon	воздушный
balloon	аэростат
ballpoint pen	шариковая ручка
bamboo	бамбук
banal	банальный
banana	банан
bandy	хоккей с мячом
banjo	банджо (bándžo)
bank	банк
bank	берег
bankrupt	банкрот
bankruptcy	банкротство
banner	знамя
banner	транспарант
banner	баннер
baptism	крещение
barbed wire	колючая проволока
barber	брадобрей
barefoot	босиком
barefoot	босой
barge	баржа
barium	барий
bark	кора
bark	лаять
bark	лай
barley	ячмень
barn owl	сипуха
baron	барон
baseball	бейсбол
basilisk	василиск
basket	корзина
basketball	баскетбол
bass	басовый
bassoon	фагот
bastard	1. ублюдок
bat	летучая мышь
bat	бита
bath	ванна
bath	ванная
bath	купание
bathroom	туалет
bathroom	ванная
battery	батарея
battle	битва
battleship	линейный корабль
bay	залив
bayonet	штык
be	быть
beach	пляж
beach volleyball	пляжный волейбол
bean	боб
bear	медведь
bear	рожать
bear	носить
bear	выносить
beard	борода
beast	монстр
beautiful	красивый
beaver	бобр
because	потому что
become	становиться
bed	кровать
bed	дно
bed	клумба
bedbug	постельный клоп
bedroom	спальня
bee	пчела
beech	бук
beef	говядина
beehive	улей
beer	пиво
beeswax	пчелиный воск
beet	свёкла
beetle	жук
before	перед
before	до
