-ible	-ibile
aircraft carrier	portaerei
airplane	aereo
airport	aeroporto
al-Qaeda	al-Qaida
alarm clock	sveglia
alas	ahimè
albatross	albatro
albeit	benché
albino	albino
albumen	albume
alchemist	alchimista
alcohol	alcol
alcohol	alcolico
alcoholic	alcoldipendente
alcoholic	alcolista
alcoholic	alcolico
alder	ontano
ale	birra inglese
algebra	algebra
algorithm	algoritmo
alibi	alibi
alien	extraterrestre
alien	straniero
all	tutto
all roads lead to Rome	tutte le strade portano a Roma
allative case	caso allativo
allegiance	fedeltà
alley	vicolo
alligator	alligatore
alloy	lega
almond	mandorla
almond	mandorlo
almost	quasi
alpaca	alpaca
alpha	alfa
alphabet	alfabeto
alphabetic	alfabetico
alphabetical	alfabetico
alpine chough	gracchio alpino
already	già
also	anche
altar	altare
although	sebbene
altitude	altezza
aluminium	alluminio
aluminum	alluminio
am	sono
amaranth	amaranto
amateur	dilettante
amber	ambra
amber	giallo
ambigram	ambigramma
ambiguous	ambiguo
ambrosia	ambrosia
ambulance	ambulanza
ameliorate	migliorare
americium	americio
amethyst	ametista
amino acid	amminoacido
among	tra
ampersand	e commerciale
amphetamine	anfetamina
amphibian	anfibio
an	un
anachronistic	anacronico
anagram	anagramma
anal sex	sesso anale
analogue	analogico
analysis	analisi
analyst	analista
anarchism	anarchismo
anarchy	anarchia
anatomy	anatomia
anchor	ancora
anchovy	alice
ancient	antico
and	e
anger	ira
angle	angolo
angle	punto di vista
angry	arrabbiato
animal	animale
anime	anime
anise	anice
ankle	caviglia
anno Domini	Anno Domini
annoy	infastidirsi
annual	annuale
answer	risposta
ant	formica
antenna	antenna
anthrax	antrace
anthropology	antropologia
antichrist	anticristo
antimony	antimonio
antler	corno
anus	ano
anyone	chiunque
apartment	appartamento
apatite	apatite
ape	scimmia
aphorism	aforisma
apocalypse	apocalisse
apostasy	apostasia
apostle	apostolo
apostrophe	apostrofo
appendicitis	appendicite
appendix	appendice
apple	mela
apple pie	torta di mele
apple tree	melo
appreciate	apprezzare
appreciate	capire
appreciate	valorizzarsi
approximately	approssimativamente
apricot	albicocca
apricot	albicocco
apron	grembiule
aquatic	acquatico
arc	arco
archaeology	archeologia
archaic	arcaico
archangel	arcangelo
archduke	arciduca
archery	tiro con l'arco
archipelago	arcipelago
architect	architetto
architecture	architettura
archive	archivio
are	sono
are	siamo
are	siete
area	area
argent	argento
arginine	arginina
argon	argon
argument	argomento
argument	discussione
arise	sorgere
arithmetic	aritmetica
arm	braccio
arm	arma
armistice	armistizio
armor	armatura
armour	armatura
armpit	ascella
army	esercito
arrange	disporre
arrogant	arrogante
arrow	freccia
arsenic	arsenico
arson	incendio
art	arte
artery	arteria
artichoke	carciofo
article	articolo
artist	artista
as	come
as	tanto
as	mentre
as	quanto
as	siccome
as	quando
ascend	salire
ash	cenere
ash	frassino
ashtray	portacenere
ask	chiedere
aspect	aspetto
aspirin	aspirina
ass	asino
ass	culo
asshole	ano
asshole	testa di cazzo
astatine	astato
asterisk	asterisco
asteroid	asteroide
astronomy	astronomia
at	a
at sign	chiocciola
at symbol	chiocciola
ate	See conjugation of mangiare
atheism	ateismo
atheist	ateo
atom	atomo
atomic nucleus	nucleo atomico
atomic number	numero atomico
atrocity	atrocità
attack	attacco
aubergine	melanzana
auction	asta
augment	aumentare
aunt	zia
author	autore
authority	autorità
autism	autismo
automobile	automobile, auto
autonomous	autonomo
autonomy	autonomia
autumn	autunno
auxiliary verb	verbo ausiliaro
availability	disponibilità
avalanche	valanga
avenue	viale
average	media
avoid	evitare
awake	veglia
awake	svegliarsi
awake	svegliare
awl	punteruolo
axe	ascia
axis	asse
axis of evil	asse della malvagità
azure	azzurro
baboon	babbuino
baby	bambino
babysitter	baby-sitter
bachelor	scapolo
back	retro
back	fondo
back	indietro
backgammon	backgammon
bacon	pancetta
bacteria	batteri
bacterium	batterio
bad	cattivo
bad	brutto
bad	sbagliato
badger	tasso
bagpipes	cornamusa
baker	panettiere
bakery	panetteria
baklava	baklava
balance	bilancia
balance	equilibrio
balcony	balcone
bald	calvo
ball	pallone
ball	palla
ball	ballo
balloon	palloncino
ballpoint pen	penna a sfera
bamboo	bambù
banal	banale
banana	banana
banana	banano
band-aid	cerotto
bandy	bandy
banjo	bangio
bank	banca
bank	riva
bankrupt	fallito
bankruptcy	bancarotta
banner	stendardo
banner	striscione
bar	bar
barbed wire	filo spinato
barber	barbiere
barge	chiatta
barium	bario
bark	corteccia
bark	abbaiamento
barley	orzo
barn owl	barbagianni
base	basi
base	base
baseball	baseball
basil	basilico
basilisk	basilisco
basket	cestino
basketball	pallacanestro
bass	basso
bassoon	fagotto
bastard	bastardo
bat	pipistrello
bath	bagno
bath	stanza da bagno
bathroom	toiletta
bathroom	stanza da bagno
battery	pila
battle	battaglia
battleship	corazzata
bay	baia
bayonet	baionetta
be	essere
be	andare
be	stare
beach	spiaggia
beach volleyball	beach volley
beak	becco
beam	trave
bean	fagiolo
bear	orso
bear	partorire
bear	portare
bear	sopportare
beard	barba
beast	bestia
beat	colpire
beautiful	bello
beaver	castoro
because	perché
become	diventare
bed	letto
bedbug	cimice
bee	ape
beech	faggio
beef	manzo
beer	birra
beet	barbabietola
beet	bietola
beetle	scarafaggio
beetle	maggiolino
before	davanti
before	prima
beg	mendicare
beg	implorare
begin	cominciare
beginning	inizio
behavior	comportamento
behaviour	comportamento
beige	beige
being	essere
being	esistenza
bell	campana
belly	pancia
belt	cintura
bench	banco
berkelium	berkelio
berry	bacca
beryllium	berillio
best regards	distinti saluti
bet	scommessa
better	meglio
between	tra
biathlon	biathlon
bicycle	bicicletta
bidet	bidet
big	grande
big toe	alluce
bike	bici
bike	moto
bikini	bikini
billiards	biliardi
billion	miliardo
bind	legare
binoculars	binocolo
biochemistry	biochimica
biography	biografia
biological	biologico
biology	biologia
birch	betulla
bird	uccello
bird	bambola
bird of prey	uccello rapace
birth	nascita
birthday	compleanno
birthmark	voglia
biscuit	biscotto
bishop	vescovo
bit	poco
bitch	cagna
bitch	stronza
bite	mordere
bite	morsicare
bitter	amaro
black	nero
black grouse	gallo forcello
black hole	buco nero
black woodpecker	picchio nero
black-headed gull	gabbiano comune
blackberry	mora
blackberry	rovo
blackbird	merlo
blackboard	lavagna
blacksmith	fabbro ferraio
bladder	vescica
blade	lama
blanket	coperta
bleed	buttare sangue
bless	benedire
bless you	salute
blind	cieco
blindness	cecità
blog	diario in rete
blood	sangue
blood type	gruppo sanguigno
bloody	sanguinante
bloody	cruento
blouse	blusa
blowjob	pompino
blue	(''dark blue'') blu
blue tit	cinciarella
blue whale	balenottera azzurra
blueberry	mirtillo
boar	cinghiale
boar	verro
boat	barca
body	corpo
bodybuilder	culturista
bodybuilding	culturismo
bohrium	bohrio
boil	bollire
bold	sfrontato
bold	grassetto
