0 (number)	0 (число)
Isomer	Изомерия
Isoroku Yamamoto	Ямамото, Исороку
Isotope	Изотопы
Israel	Израиль
Israel	Категория:Израиль
Istanbul	Стамбул
Istanbul	Категория:Стамбул
Isthmus	Перешеек
Isthmus of Panama	Панамский перешеек
Italian Peninsula	Апеннинский полуостров
Italo Calvino	Кальвино, Итало
Italy	Италия
Italy	Категория:Италия
Ithaca	Итака (остров)
Ivan Lendl	Лендл, Иван
Ivan Pavlov	Павлов, Иван Петрович
Ivan Turgenev	Тургенев, Иван Сергеевич
Ivory	Слоновая кость
Ivy League	Лига плюща
Iwo Jima	Иодзима
J	J (латиница)
J. D. Salinger	Сэлинджер, Джером Дэвид
J. M. Barrie	Барри, Джеймс Мэтью
Jack Kerouac	Керуак, Джек
Jack Lemmon	Леммон, Джек
Jack London	Джек Лондон
Jack the Ripper	Джек Потрошитель
Jackdaw	Галка
Jackson	Джексон (Миссисипи)
Jackson Pollock	Поллок, Джексон
Jacksonville	Джэксонвилл
Jacob	Иаков
Jacques Cartier	Картье, Жак
Jacques Derrida	Деррида, Жак
Jacques Offenbach	Оффенбах, Жак
Jade	Нефрит
Jaguar	Ягуар
Jainism	Джайнизм
Jakarta	Джакарта
Jalalabad	Джалалабад
Jamaica	Ямайка
Jamaica	Категория:Ямайка
James	Иаков Зеведеев
James A. Garfield	Гарфилд, Джеймс Абрам
James Bond	Джеймс Бонд
James Buchanan	Бьюкенен, Джеймс
James Clerk Maxwell	Максвелл, Джеймс Клерк
James Cook	Кук, Джеймс
James Franck	Франк, Джеймс
James Joyce	Джойс, Джеймс
James K. Polk	Полк, Джеймс Нокс
James Madison	Мэдисон, Джеймс
James Monroe	Монро, Джеймс
James Naismith	Нейсмит, Джеймс
James Prescott Joule	Джоуль, Джеймс Прескотт
James Watt	Уатт, Джеймс
Jammu and Kashmir	Джамму и Кашмир
Jan Hus	Гус, Ян
Jan van Eyck	Эйк, Ян ван
Jane Austen	Остин, Джейн
Jane Fonda	Фонда, Джейн Сеймур
Jane Seymour	Сеймур, Джейн
Janis Joplin	Джоплин, Дженис
Janissary	Янычары
January	Январь
January 1	1 января
January 19	19 января
January 20	20 января
January 6	6 января
Janus (moon)	Янус (спутник)
Janus (mythology)	Янус (мифология)
Japan	Япония
Japan	Категория:Япония
Jason	Ясон
Jaundice	Желтуха
Java	Ява
Java (disambiguation)	Ява (значения)
Java (programming language)	Java
Jawaharlal Nehru	Неру, Джавахарлал
Jazz	Джаз
Jazz	Категория:Джаз
Jean Auguste Dominique Ingres	Энгр, Жан Огюст Доминик
Jean Cocteau	Кокто, Жан
Jean Piaget	Пиаже, Жан
Jean Racine	Расин, Жан
Jean Sibelius	Сибелиус, Ян
Jean de La Fontaine	Лафонтен, Жан
Jean-Jacques Rousseau	Руссо, Жан-Жак
Jean-Paul Sartre	Сартр, Жан-Поль
Jean-Philippe Rameau	Рамо, Жан Филипп
Jeddah	Джидда
Jefferson City	Джефферсон-Сити (Миссури)
Jefferson Davis	Дэвис, Джефферсон
Jehovah's Witnesses	Свидетели Иеговы
Jellyfish	Медуза (биология)
Jena	Йена (город)
Jeremy Bentham	Бентам, Джереми
Jerez de la Frontera	Херес-де-ла-Фронтера
Jericho	Иерихон
Jerome	Иероним Стридонский
Jersey	Джерси
Jerusalem	Иерусалим
Jerusalem	Категория:Иерусалим
Jesus	Иисус Христос
Jet engine	Воздушно-реактивный двигатель
Jew	Евреи
Jew's harp	Варган
Jihad	Джихад
Jimi Hendrix	Хендрикс, Джеймс Маршалл
Jimmy Carter	Картер, Джимми
Joan of Arc	Жанна д’Арк
Johann Bernoulli	Бернулли, Иоганн
Johann Sebastian Bach	Бах, Иоганн Себастьян
Johann Wolfgang von Goethe	Гёте, Иоганн Вольфганг
Johannes Brahms	Брамс, Иоганнес
Johannes Diderik van der Waals	Ван-дер-Ваальс, Ян Дидерик
Johannes Gutenberg	Гутенберг, Иоганн
Johannes Kepler	Кеплер, Иоганн
Johannes Vilhelm Jensen	Йенсен, Йоханнес Вильхельм
Johannesburg	Йоханнесбург
John Adams	Адамс, Джон (президент)
John Bardeen	Бардин, Джон
John Cage	Кейдж, Джон Мильтон
John Calvin	Кальвин, Жан
John Chrysostom	Иоанн Златоуст
John Dalton	Дальтон, Джон
John Dewey	Дьюи, Джон
John Galsworthy	Голсуорси, Джон
John Herschel	Гершель, Джон
John Keats	Китс, Джон
John Lennon	Леннон, Джон
John Locke	Локк, Джон
John Major	Мейджор, Джон
John Maynard Keynes	Кейнс, Джон Мейнард
John Milton	Мильтон, Джон
John Napier	Непер, Джон
John Quincy Adams	Адамс, Джон Куинси
John Ruskin	Рёскин, Джон
John Steinbeck	Стейнбек, Джон
John Stuart Mill	Милль, Джон Стюарт
John Tyler	Тайлер, Джон
John Wayne	Джон Уэйн
John Wycliffe	Джон Виклиф
John the Baptist	Иоанн Креститель
John von Neumann	Нейман, Джон фон
Johnny Cash	Кэш, Джонни
Joint	Сустав
Jonathan Swift	Свифт, Джонатан
Jordan	Иордания
Jordan	Категория:Иордания
Jordan River	Иордан
Jorge Luis Borges	Борхес, Хорхе Луис
Joseph Conrad	Конрад, Джозеф
Joseph Goebbels	Геббельс, Пауль Йозеф
Joseph Haydn	Гайдн, Франц Йозеф
Joseph Louis Gay-Lussac	Гей-Люссак, Жозеф Луи
Joseph McCarthy	Маккарти, Джозеф Реймонд
Joseph Priestley	Пристли, Джозеф
Joseph Pulitzer	Пулитцер, Джозеф
Joseph Schumpeter	Шумпетер, Йозеф
Joseph Smith	Смит, Джозеф
Joseph Stalin	Сталин, Иосиф Виссарионович
Josephus	Иосиф Флавий
Joule	Джоуль
Journalism	Категория:Журналистика
Journalism	Журналистика
Journalist	Журналист
Jovian	Иовиан
Joystick	Джойстик
Judaism	Иудаизм
Judaism	Категория:Иудаизм
Judas Iscariot	Иуда Искариот
Judea	Иудея
Judo	Дзюдо
Judy Garland	Джуди Гарленд
Jujutsu	Джиу-джитсу
Jules Verne	Верн, Жюль
Julian calendar	Юлианский календарь
Julian the Apostate	Флавий Клавдий Юлиан
Julius Caesar	Юлий Цезарь
July	Июль
July 1	1 июля
July 4	4 июля
June	Июнь
June 14	14 июня
June 21	21 июня
June 23	23 июня
June 24	24 июня
June 29	29 июня
June 3	3 июня
Juneau	Джуно (Аляска)
Juniper	Можжевельник
Juno (mythology)	Юнона
Jupiter	Юпитер (планета)
Jupiter	Категория:Юпитер
Jupiter (disambiguation)	Юпитер
Jupiter (mythology)	Юпитер (мифология)
Jurassic	Юрский период
Justinian I	Юстиниан I
Jutland	Ютландия
K	K (латиница)
K2	К2
KGB	Комитет государственной безопасности СССР
Kaaba	Кааба
Kabbalah	Каббала
Kabul	Кабул
Kalahari Desert	Калахари
Kamchatka Peninsula	Полуостров Камчатка
Kamikaze	Камикадзе
Kampala	Кампала
Kandahar	Кандагар
Kangaroo	Кенгуру
Kansas	Канзас
Kansas	Категория:Канзас
Kansas City	Канзас-Сити (Миссури)
Kappa	Каппа (буква)
Kara Sea	Карское море
Karachi	Карачи
Karakoram	Каракорум (хребет)
Karaoke	Караоке
Karate	Карате
Karen Blixen	Бликсен, Карен
Karl Barth	Барт, Карл
Karl Jaspers	Ясперс, Карл Теодор
Karl Marx	Маркс, Карл
Karl Popper	Поппер, Карл Рэймонд
Karma	Карма
Karnataka	Карнатака
Katharine Hepburn	Хепбёрн, Кэтрин
Kathmandu	Катманду
Katowice	Катовице
Kaunas	Каунас
Kayak	Каяк
Kazakhstan	Казахстан
Kazakhstan	Категория:Казахстан
Kazan	Казань
Kazimir Malevich	Малевич, Казимир Северинович
Kelvin	Кельвин
Kent	Кент
Kentucky	Кентукки
Kentucky	Категория:Кентукки
Kenya	Кения
Kenya	Категория:Кения
Kernel (computer science)	Ядро операционной системы
Kerosene	Керосин
Ketchup	Кетчуп
Ketone	Кетоны
Keyboard (computing)	Клавиатура
Keyboard instrument	Клавишные музыкальные инструменты
Khabarovsk	Хабаровск
Khan	Хан (титул)
Kharkiv	Харьков
Khartoum	Хартум
Khmer Rouge	Красные кхмеры
Khufu	Хеопс
Kibbutz	Кибуц
Kidney	Почка (анатомия)
Kiev	Киев
Kigali	Кигали
Kilobyte	Килобайт
Kilogram	Килограмм
Kilometre	Километр
Kilometres per hour	Километр в час
Kimono	Кимоно
Kindergarten	Детский сад
Kinematics	Кинематика точки
Kinetic energy	Кинетическая энергия
King (chess)	Король (шахматы)
King Arthur	Король Артур
King Lear	Король Лир (пьеса)
Kingdom (biology)	Царство (биология)
Kingston	Кингстон (Ямайка)
Kingstown	Кингстаун
Kinshasa	Киншаса
Kiribati	Кирибати
Kiribati	Категория:Кирибати
Kirkuk	Киркук
Kiss	Поцелуй
Kite	Воздушный змей
Kiwi	Киви (птица)
Knee	Колено (анатомия)
Knesset	Кнессет
Knife	Нож
Knight	Рыцарь
Knight (chess)	Конь (шахматы)
Knossos	Кносс
Knot (speed)	Узел (единица измерения)
Knowledge	Знание
Knut Hamsun	Гамсун, Кнут
Koala	Коала
Kobe	Кобе
Kola Peninsula	Кольский полуостров
Kolkata	Калькутта
Komodo dragon	Комодский варан
Konqueror	Konqueror
Konrad Adenauer	Аденауэр, Конрад
Korea	Корея
Korea	Категория:Корея
Korean War	Корейская война 1950—1953
Kosovo	Косово
Kosovo	Категория:Косово и Метохия
Krakatoa	Кракатау
Kremlin	Кремль
Krishna	Кришна
Krypton	Криптон
Ku Klux Klan	Ку-клукс-клан
Kuala Lumpur	Куала-Лумпур
Kublai Khan	Хубилай
Kuiper belt	Пояс Койпера
Kumquat	Кумкват
Kunlun Mountains	Куньлунь
Kuomintang	Гоминьдан
Kura River	Кура (река)
Kurdistan	Курдистан
Kurdistan	Категория:Курдистан
Kurdistan Workers Party	Рабочая партия Курдистана
Kursk	Курск
Kurt Vonnegut	Воннегут, Курт
Kurt Waldheim	Вальдхайм, Курт
Kuwait	Кувейт
Kuwait	Категория:Кувейт
Kuwait City	Кувейт (город)
KwaZulu-Natal	Квазулу-Натал
Kyoto	Киото
Kyrgyzstan	Киргизия
Kyrgyzstan	Категория:Киргизия
L	L (латиница)
L'Aquila	Л’Аквила
LAMP (software bundle)	LAMP
La Paz	Ла-Пас (Боливия)
La Plata	Ла-Плата (город)
La Spezia	Специя
LaTeX	LaTeX
Laboratory	Лаборатория
Labour Party (UK)	Лейбористская партия (Великобритания)
Labrador Retriever	Лабрадор ретривер
Lacerta	Ящерица (созвездие)
Lactic acid	Молочная кислота
Lactose	Лактоза
Lady Jane Grey	Джейн Грей
Lagomorpha	Зайцеобразные
Lagos	Лагос
Lahore	Лахор
Laissez-faire	Laissez-faire
Lake	Озеро
Lake Baikal	Байкал
Lake Balaton	Балатон
Lake Chad	Чад (озеро)
Lake Constance	Боденское озеро
Lake Erie	Эри (озеро)
Lake Eyre	Эйр (озеро)
Lake Geneva	Женевское озеро
Lake Huron	Гурон (озеро)
Lake Ilmen	Ильмень
Lake Ladoga	Ладожское озеро
Lake Malawi	Малави (озеро)
Lake Michigan	Мичиган (озеро)
Lake Onega	Онежское озеро
Lake Ontario	Онтарио (озеро)
Lake Superior	Верхнее озеро
Lake Tanganyika	Танганьика
Lake Victoria	Виктория (озеро)
Lakshmi	Лакшми
Lambda	Лямбда (буква)
Lamiaceae	Яснотковые
Lammergeier	Бородач
Lamprey	Миноги
Lancashire	Ланкашир
Lancelet	Головохордовые
Landfill	Свалка
Language	Язык
Languedoc-Roussillon	Лангедок-Руссильон
Lansing	Лансинг (Мичиган)
Lanthanide	Лантаноиды
Lanthanum	Лантан
Laos	Лаос
Laos	Категория:Лаос
Laptev Sea	Море Лаптевых
Laptop	Ноутбук
Larch	Лиственница
Larva	Личинка
Larynx	Гортань
Las Vegas	Лас-Вегас (Невада)
Lascaux	Пещера Ласко
Laser	Лазер
Lathe	Токарная группа станков
Latin	Латинский язык
Latin America	Латинская Америка
Latin alphabet	Латинский алфавит
Latitude	Широта
Latvia	Латвия
Latvia	Категория:Латвия
Laughter	Смех
Laurasia	Лавразия
Lausanne	Лозанна
Lava	Лава
Law	Право
Law	Категория:Право
Law enforcement	Категория:Полиция
Lawrencium	Лоуренсий
Lawyer	Адвокат
Lazio	Лацио
Le Corbusier	Ле Корбюзье
Le Havre	Гавр
Lead	Свинец
Leaf	Лист
League of Nations	Лига Наций
Leaning Tower of Pisa	Пизанская башня
Leap year	Високосный год
Learning	Обучение
Lebanon	Ливан
Lebanon	Категория:Ливан
Leda (mythology)	Леда
Lee Harvey Oswald	Освальд, Ли Харви
Leeds	Лидс
Left-handed	Левша
Legend	Легенда
Legislature	Законодательная власть
Lego	LEGO
Leicester	Лестер
Leiden	Лейден
Leipzig	Лейпциг
Lemon	Лимон
Lena River	Лена (река)
Length	Длина
Lens (optics)	Линза
Lent	Великий пост
Lentil	Чечевица
Leo (constellation)	Лев (созвездие)
Leo I (emperor)	Лев I Макелла
Leon Trotsky	Троцкий, Лев Давидович
Leonard Bernstein	Бернстайн, Леонард
Leonardo da Vinci	Леонардо да Винчи
Leonhard Euler	Эйлер, Леонард
Leonid Brezhnev	Брежнев, Леонид Ильич
Leopard	Леопард
Lepidoptera	Чешуекрылые
Leprosy	Лепра
Lepton	Лептон
Lepus (constellation)	Заяц (созвездие)
Lesbian	Лесбиянство
Lesotho	Лесото
Lesotho	Категория:Лесото
Lesser Antilles	Малые Антильские острова
Leto	Лето (мифология)
Letter (alphabet)	Буква
Leukemia	Лейкозы
Levant	Левант
Lever	Рычаг
Leviathan	Левиафан
Leviticus	Книга Левит
Lewis Carroll	Льюис Кэрролл
Lexicology	Лексикология
Lhasa	Лхаса
Lhotse	Лхоцзе
Liberalism	Либерализм
Liberalism	Категория:Либерализм
Liberation Tigers of Tamil Eelam	Тигры освобождения Тамил-Илама
Liberia	Либерия
Liberia	Категория:Либерия
Libra (constellation)	Весы (созвездие)
Library	Библиотека
Library science	Библиотековедение
Libretto	Либретто
Libreville	Либревиль
Libya	Ливия
Libya	Категория:Ливия
Lichen	Лишайники
Lie	Ложь
Liechtenstein	Лихтенштейн
Liechtenstein	Категория:Лихтенштейн
Lieutenant	Лейтенант
Life	Жизнь
Life	Категория:Жизнь
Light	Свет
Light-emitting diode	Светодиод
Light-year	Световой год
Lighter	Зажигалка
Lighthouse	Маяк
Lightning	Молния
Liguria	Лигурия
Ligurian Sea	Лигурийское море
Liliaceae	Лилейные
Lilith	Лилит
Lille	Лилль
Lilongwe	Лилонгве
Lima	Лима
Limerick	Лимерик
Limestone	Известняк
Limnology	Лимнология
Limousin (region)	Лимузен (регион)
Lincoln	Линкольн (Небраска)
Lincoln	Линкольн
Lincolnshire	Линкольншир
Line (mathematics)	Прямая
Linear algebra	Линейная алгебра
Linear algebra	Категория:Линейная алгебра
Linear equation	Линейное уравнение
Lingua franca	Лингва-франка
Linguistics	Лингвистика
Linguistics	Категория:Лингвистика
Linus Pauling	Полинг, Лайнус Карл
Linux	Linux
Linux	Категория:Linux
Linz	Линц
Lion	Лев
Lipid	Липиды
Liqueur	Ликёр
Liquid	Жидкость
Liquid crystal display	ЖК-монитор
Liquorice	Лакрица
Lisbon	Лиссабон
Lise Meitner	Мейтнер, Лиза
Lisp (programming language)	Лисп
Literacy	Грамотность
Literature	Литература
Literature	Категория:Литература
Literature	Портал:Литература
Lithium	Литий
Lithography	Литография
Lithosphere	Литосфера
Lithuania	Литва
Lithuania	Категория:Литва
Litre	Литр
Little Owl	Сыч домовой
Liverpool	Ливерпуль
Livonia	Ливония
Livy	Тит Ливий
Lizard	Ящерицы
Ljubljana	Любляна
Llama	Лама (животное)
Loanword	Заимствование
Local area network	Локальная вычислительная сеть
Loch Ness	Лох-Несс
Loch Ness Monster	Лох-Несское чудовище
Locomotive	Локомотив
Logarithm	Логарифм
Logic	Логика
Logic	Категория:Логика
Logic gate	Логический вентиль
Logistics	Логистика
Logo	Логотип
Loire	Луара (департамент)
Loire River	Луара (река)
Loki	Локи
Lolita	Лолита (роман)
Lombardy	Ломбардия
London	Лондон
London	Категория:Лондон
Long Beach	Лонг-Бич (Калифорния)
Long Island	Лонг-Айленд
Long jump	Прыжок в длину
Long-eared Owl	Ушастая сова
Lope de Vega	Вега, Лопе де
Lord's Prayer	Отче наш
Lorraine (region)	Лотарингия (регион)
Los Angeles	Лос-Анджелес
Lot (department)	Ло (департамент)
Loudspeaker	Громкоговоритель
Louis Aragon	Луи Арагон
Louis Armstrong	Армстронг, Луи
Louis Braille	Брайль, Луи
Louis Pasteur	Пастер, Луи
Louis the Pious	Людовик I Благочестивый
Louis the Stammerer	Людовик II Заика
Louisiana	Луизиана
Louisiana	Категория:Луизиана
Louisville	Луисвилл
Louvre	Лувр
Love	Любовь
Low German	Нижненемецкий язык
Lower Saxony	Нижняя Саксония
Luanda	Луанда
Lublin	Люблин
Lucerne	Люцерн
Luciano Pavarotti	Паваротти, Лучано
Lucifer	Люцифер
Lucretius	Тит Лукреций Кар
Lucrezia Borgia	Борджиа, Лукреция
Ludwig Boltzmann	Больцман, Людвиг
Ludwig Mies van der Rohe	Людвиг Мис ван дер Роэ
Ludwig Wittgenstein	Витгенштейн, Людвиг
Ludwig van Beethoven	Бетховен, Людвиг ван
Luftwaffe	Люфтваффе
Luigi Galvani	Гальвани, Луиджи
Luigi Pirandello	Пиранделло, Луиджи
Lumen (unit)	Люмен
Luminescence	Люминесценция
Lunar eclipse	Лунное затмение
Lund	Лунд
Lung	Лёгкие
Lung cancer	Злокачественные новообразования лёгких
Lungfish	Двоякодышащие
Lupus (constellation)	Волк (созвездие)
Lusaka	Лусака
Lusitania	Лузитания (римская провинция)
Lute	Лютня
Lutetium	Лютеций
Lutheranism	Лютеранство
Lux	Люкс
Luxembourg	Люксембург
Luxembourg	Категория:Люксембург
Luxembourg (city)	Люксембург (город)
Luxor	Луксор
Luzon	Лусон
Lychee	Личи
Lydia	Лидия
Lymphatic system	Лимфатическая система
Lynx (constellation)	Рысь (созвездие)
Lynx (web browser)	Lynx
Lyon	Лион
Lyra	Лира (созвездие)
Lysergic acid diethylamide	ЛСД
Lysine	Лизин
Lysosome	Лизосома
M	M (латиница)
M-theory	М-теория
MESSENGER	MESSENGER (КА)
MIME	MIME
MS-DOS	MS-DOS
Macau	Аомынь
Macbeth	Макбет (пьеса)
Macedon	Древняя Македония
Macedonia	Македония
Macedonia (Greece)	Македония (Греция)
Mach number	Число Маха
Machine	Машина
Machine code	Машинный код
Machine gun	Пулемёт
Machine translation	Машинный перевод
Machu Picchu	Мачу-Пикчу
Macintosh	Macintosh
Macroeconomics	Макроэкономика
Macroeconomics	Категория:Макроэкономика
Madagascar	Мадагаскар
Madagascar	Категория:Мадагаскар
Madeira	Мадейра
Madison	Мэдисон (Висконсин)
Madonna (entertainer)	Мадонна (певица)
Madrid	Мадрид
Madrid (autonomous community)	Мадрид (автономное сообщество)
Mafia	Мафия
Magazine	Журнал
Magenta	Маджента
Maghreb	Магриб
Magic (paranormal)	Магия
Magic square	Магический квадрат
Maginot Line	Линия Мажино
Magma	Магма
Magna Carta	Великая хартия вольностей
Magnesium	Магний
Magnet	Магнит
Magnetic field	Магнитное поле
Magnetic resonance imaging	Магнитно-резонансная томография
Magnetism	Магнетизм
Magnetism	Категория:Магнетизм
Magnetite	Магнетит
Magnifying glass	Лупа
Magnoliopsida	Категория:Двудольные
Maharashtra	Махараштра
Mahatma Gandhi	Махатма Ганди
Mahayana	Махаяна
Mail	Почта
Maimonides	Рамбам
Main	Майн (река)
Main	Шаблон:Main
Maine	Мэн (штат)
Maine	Категория:Мэн
Mainframe computer	Мейнфрейм
Maitreya	Майтрея
Maize	Кукуруза
Major	Майор
Major scale	Мажор
Majorca	Мальорка
Makalu	Макалу
Malabo	Малабо
Malachite	Малахит
Malacostraca	Высшие раки
Malaria	Малярия
Malawi	Категория:Малави
Malay Peninsula	Малайский полуостров
Malayan Tapir	Чепрачный тапир
Malaysia	Малайзия
Malaysia	Категория:Малайзия
Malcolm X	Малколм Икс
Maldives	Мальдивы
Maldives	Категория:Мальдивы
Mali	Мали
Mali	Категория:Мали
Mallard	Кряква
Malta	Мальта
Malta	Категория:Мальта
Maltese language	Мальтийский язык
Maltose	Мальтоза
Malvaceae	Мальвовые
Mammal	Млекопитающие
Mammoth	Мамонты
Management	Менеджмент
Managua	Манагуа
Manama	Манама
Manatee	Ламантины
Manchester	Манчестер
Manchuria	Маньчжурия
Mandala	Мандала
Mandarin (linguistics)	Северные диалекты китайского языка
Mandarin orange	Мандарин
Mandelbrot set	Множество Мандельброта
Manganese	Марганец
Mango	Манго
Mangrove	Мангры
Manhattan	Манхэттен
Manhattan Project	Манхэттенский проект
Manichaeism	Манихейство
Manila	Манила
Manipur	Манипур
Manitoba	Манитоба
Mannerism	Маньеризм
Mannheim	Мангейм
Mantle (geology)	Мантия Земли
Mantra	Мантра
Mantua	Мантуя
Manuel de Falla	Фалья, Мануэль де
Manuscript	Манускрипт
Mao Zedong	Мао Цзэдун
Maoism	Маоизм
Map	Географическая карта
Maple	Клён
Maputo	Мапуту
Marathon	Марафон
Marble	Мрамор
Marc Chagall	Шагал, Марк Захарович
Marcel Duchamp	Дюшан, Марсель
Marcel Marceau	Марсо, Марсель
Marcel Proust	Пруст, Марсель
March	Март
March 17	17 марта
March 19	19 марта
March 2	2 марта
March 25	25 марта
Marche	Марке
Marco Polo	Поло, Марко
Marcus Aurelius	Марк Аврелий
Marcus Junius Brutus	Марк Юний Брут
Marcus Vipsanius Agrippa	Марк Випсаний Агриппа
Marduk	Мардук
Margaret Mead	Мид, Маргарет
Margaret Mitchell	Митчелл, Маргарет
Margaret Thatcher	Тэтчер, Маргарет
Maria Callas	Мария Каллас
Mariana Islands	Марианские острова
Marie Antoinette	Мария-Антуанетта
Marie Curie	Кюри-Склодовская, Мария
Mariehamn	Маарианхамина
Marilyn Monroe	Мэрилин Монро
Mario Vargas Llosa	Варгас Льоса, Марио
Mark Antony	Марк Антоний
Mark Twain	Марк Твен
Market	Рынок
Marketing	Маркетинг
Marketing	Категория:Маркетинг
Markup language	Язык разметки
Marlene Dietrich	Дитрих, Марлен
Marquis de Sade	Маркиз де Сад
Marrakech	Марракеш
Marriage	Брачный союз
Mars	Категория:Марс
Mars (disambiguation)	Марс (значения)
Mars (mythology)	Марс (мифология)
Marseille	Марсель
Marshall Islands	Маршалловы Острова
Marshall Islands	Категория:Маршалловы Острова
Marshall Plan	План Маршалла
Marsupial	Сумчатые
Martin Buber	Бубер, Мартин
Martin Heidegger	Хайдеггер, Мартин
Martin Luther	Лютер, Мартин
Martin Luther King	Кинг, Мартин Лютер
Martin Scorsese	Скорсезе, Мартин
Martin Van Buren	Ван Бюрен, Мартин
Martina Navratilova	Навратилова, Мартина
Martinique	Мартиника
Martyr	Мученик
Marx Brothers	Братья Маркс
Marxism	Марксизм
Marxism	Категория:Марксизм
Mary (mother of Jesus)	Дева Мария
Mary Magdalene	Мария Магдалина
Mary Shelley	Шелли, Мэри Уолстонкрафт
Mary Wollstonecraft	Уолстонкрафт, Мэри
Maryland	Мэриленд
Maryland	Категория:Мэриленд
Maseru	Масеру
Mashhad	Мешхед
Mass	Масса
Mass (liturgy)	Месса
Mass number	Массовое число
Massachusetts	Массачусетс
Massachusetts	Категория:Массачусетс
Massachusetts Institute of Technology	Массачусетсский технологический институт
Masturbation	Мастурбация
Mata Hari	Мата Хари
Match	Спичка
Materialism	Материализм
Mathematical logic	Математическая логика
Mathematical logic	Категория:Математическая логика
Mathematical proof	Математическое доказательство
Mathematics	Математика
Mathematics	Категория:Математика
Mathematics	Портал:Математика
Matrix (mathematics)	Матрица (математика)
Matter	Материя (физика)
Matterhorn	Маттерхорн
Mauna Kea	Мауна-Кеа
Mauna Loa	Мауна-Лоа
Maundy Thursday	Великий четверг
Maurice Ravel	Равель, Морис
Mauritania	Мавритания
Mauritania	Категория:Мавритания
Mauritius	Маврикий
Mauritius	Категория:Маврикий
Max Born	Борн, Макс
Max Bruch	Брух, Макс
Max Ernst	Эрнст, Макс
Max Planck	Планк, Макс
Max Weber	Вебер, Эмиль Максимилиан
Maximian	Максимиан
Maxwell's equations	Уравнения Максвелла
May	Май
May 1	1 мая
May 24	24 мая
Mayenne	Майенн
Mayfly	Подёнки
Mayonnaise	Майонез
Mayor	Мэр
Mbabane	Мбабане
McCarthyism	Маккартизм
Mead	Мёд (напиток)
Measles	Корь
Measure (mathematics)	Мера множества
Measurement	Категория:Измерение
Measurement	Измерение
Meat	Мясо
Mecca	Мекка
Mechanical engineering	Машиностроение
Mechanical engineering	Категория:Машиностроение
Mechanics	Категория:Механика
Mechanics	Механика
Medea	Медея
Median	Медиана (статистика)
Medication	Лекарственные средства
Medici	Медичи (семья)
Medicine	Медицина
Medicine	Категория:Медицина
Medina	Медина
Meditation	Медитация
Mediterranean	Категория:Средиземное море
Mediterranean Sea	Средиземное море
Medusa	Горгона Медуза
Meerkat	Сурикат
Megabyte	Мегабайт
Meiosis	Мейоз
Meister Eckhart	Мейстер Экхарт
Meitnerium	Мейтнерий
Mekong	Меконг
Mel Gibson	Гибсон, Мел
Melanesia	Меланезия
Melody	Мелодия
Melpomene	Мельпомена
Melting	Плавление
Melting point	Температура плавления
Meme	Мем
Memory	Память
Memphis	Мемфис (Теннесси)
Memphis	Мемфис (Египет)
Menachem Begin	Бегин, Менахем
Mendelevium	Менделевий
Menelaus	Менелай
Meningitis	Менингит
Mensa (constellation)	Столовая Гора (созвездие)
Menstrual cycle	Менструальный цикл
Menstruation	Менструация
Mental disorder	Психическое расстройство
Mentha	Мята
Mercantilism	Меркантилизм
Mercenary	Наёмник
Mercury	Меркурий (значения)
Mercury (element)	Ртуть
Mercury (mythology)	Гермес
Mercury (planet)	Меркурий (планета)
Meridian (geography)	Меридиан
Meritocracy	Меритократия
Mermaid	Русалка
Merovingian	Меровинги
Meryl Streep	Стрип, Мэрил
Mescaline	Мескалин
Mesolithic	Мезолит
Meson	Мезон
Mesopotamia	Междуречье
Mesopotamia	Категория:Междуречье
Mesosphere	Мезосфера
Mesozoic	Мезозой
Messenger RNA	МРНК
Messiah	Мессия
Messina	Мессина
Metabolism	Метаболизм
Metadata	Метаданные
Metal	Металлы
Metalloid	Полуметаллы
Metallurgy	Металлургия
Metallurgy	Категория:Металлургия
Metamorphic rock	Метаморфические горные породы
Metaphor	Метафора
Metaphysics	Метафизика
Metastasis	Метастаз
Meteor shower	Метеорный поток
Meteorite	Метеорит
Meteoroid	Метеороид
Meteorology	Категория:Метеорология
Meteorology	Метеорология
Methadone	Метадон
Methamphetamine	Метамфетамин
Methanol	Метанол
Methionine	Метионин
Methodism	Методизм
Methylenedioxymethamphetamine	3,4-метилендиоксиметамфетамин
Metis (moon)	Метида (спутник)
Metonymy	Метонимия
Metre	Метр
Metric space	Метрическое пространство
Meuse	Мёз (департамент)
Meuse River	Маас (река)
Mexico	Мексика
Mexico	Категория:Мексика
Mexico City	Мехико
Miami	Майами
Mica	Слюды
Michael (archangel)	Архангел Михаил
Michael Faraday	Фарадей, Майкл
Michel Ney	Ней, Мишель
Michelangelo	Микеланджело
Michigan	Мичиган
Michigan	Категория:Мичиган
Mick Jagger	Джаггер, Мик
Mickey Mouse	Микки Маус
Microbiology	Микробиология
Microbiology	Категория:Микробиология
Microeconomics	Микроэкономика
Microeconomics	Категория:Микроэкономика
Micronesia	Микронезия
Microorganism	Микроорганизмы
Microphone	Микрофон
Microscope	Микроскоп
Microscopium	Микроскоп (созвездие)
Microwave	Микроволновое излучение
Microwave oven	Микроволновая печь
Middle Ages	Средние века
Middle Ages	Категория:Средние века
Middle East	Средний Восток
Middle East	Категория:Ближний Восток
Midnight sun	Полярный день
Migraine	Мигрень
Miguel de Cervantes	Сервантес, Мигель де
